timestamp,value_cm
2026-07-31T22:15:00+02:00,37
2026-07-31T23:15:00+02:00,36
2026-08-01T00:00:00+02:00,38
2026-08-01T01:00:00+02:00,37
2026-08-01T02:15:00+02:00,38
2026-08-01T03:15:00+02:00,38
2026-08-01T04:45:00+02:00,38
2026-08-01T06:45:00+02:00,39
2026-08-01T08:30:00+02:00,38
2026-08-01T09:30:00+02:00,39
2026-08-01T10:30:00+02:00,40
2026-08-01T11:15:00+02:00,39
2026-08-01T12:15:00+02:00,39
2026-08-01T13:00:00+02:00,39
2026-08-01T14:15:00+02:00,40
2026-08-01T15:15:00+02:00,39
2026-08-01T16:15:00+02:00,39
2026-08-01T17:00:00+02:00,39
2026-08-01T18:00:00+02:00,38
2026-08-01T19:15:00+02:00,39
2026-08-01T20:15:00+02:00,38
2026-08-01T21:00:00+02:00,38
2026-08-01T22:00:00+02:00,38
2026-08-01T23:00:00+02:00,38
2026-08-02T00:00:00+02:00,40
2026-08-02T01:00:00+02:00,39
2026-08-02T02:00:00+02:00,40
2026-08-02T03:15:00+02:00,38
2026-08-02T04:45:00+02:00,39
2026-08-02T06:45:00+02:00,39
2026-08-02T08:30:00+02:00,38
2026-08-02T09:30:00+02:00,39
2026-08-02T10:30:00+02:00,38
2026-08-02T11:30:00+02:00,38
2026-08-02T12:15:00+02:00,39
