station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,5,2,69,,,
DENI042,1,5,2,,3,,
DENI042,2,4,2,63,3,,
DENI042,3,4,2,57,3,,
DENI042,4,4,2,52,4,,
DENI042,5,3,2,45,7,,
DENI042,6,3,2,41,8,,
DENI042,7,4,2,40,10,,
DENI042,8,3,1,46,8,,
DENI042,9,3,1,52,6,,
DENI042,10,6,2,60,5,,
DENI042,11,6,2,62,5,,
DENI042,12,8,3,67,5,,
DENI042,13,10,4,71,5,,
DENI042,14,8,3,73,7,,
DENI042,15,8,3,67,8,,
DENI042,16,8,3,65,8,,
DENI042,17,6,3,66,7,,
DENI042,18,4,2,64,5,,
DENI042,19,5,3,60,7,,
DENI042,20,5,3,61,7,,
DENI042,21,5,3,51,7,,
DENI042,22,6,3,45,7,,
DENI042,23,8,3,68,5,,
DENI068,0,5,2,,,,0.16
DENI068,1,5,2,,5,,0.16
DENI068,2,5,2,,6,,0.16
DENI068,3,5,2,,6,,0.16
DENI068,4,5,2,,8,,0.16
DENI068,5,6,2,,30,,0.17
DENI068,6,7,3,,33,,0.2
DENI068,7,5,2,,19,,0.21
DENI068,8,7,2,,19,,0.22
DENI068,9,5,2,,12,,0.22
DENI068,10,6,2,,11,,0.23
DENI068,11,7,2,,10,,0.24
DENI068,12,9,3,,14,,0.24
DENI068,13,12,4,,19,,0.24
DENI068,14,14,5,,28,,0.23
DENI068,15,11,4,,24,,0.23
DENI068,16,14,5,,34,,0.24
DENI068,17,8,4,,26,,0.25
DENI068,18,7,3,,24,,0.25
DENI068,19,8,3,,18,,0.26
DENI068,20,9,3,,19,,0.26
DENI068,21,7,3,,15,,0.25
DENI068,22,8,4,,13,,0.24
DENI068,23,8,4,,12,,0.24
