station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,12,7,81,5,,
DENI042,1,12,7,85,4,0,
DENI042,2,12,7,87,3,0.1,
DENI042,3,11,7,83,3,,
DENI042,4,12,7,,4,0.2,
DENI042,5,12,7,74,4,0.1,
DENI042,6,10,6,74,4,,
DENI042,7,10,6,75,3,0.1,
DENI042,8,11,6,62,4,,
DENI042,9,11,6,53,5,,
DENI042,10,9,5,52,4,,
DENI042,11,10,7,51,5,,
DENI042,12,8,5,58,4,,
DENI042,13,5,3,65,3,,
DENI042,14,6,3,66,3,,
DENI042,15,6,3,63,4,,
DENI042,16,6,3,57,6,,
DENI042,17,6,4,46,9,,
DENI042,18,6,4,37,10,,
DENI042,19,6,4,30,9,,
DENI042,20,6,3,41,7,,
DENI042,21,5,2,61,3,,
DENI042,22,5,2,60,3,,
DENI042,23,6,2,57,4,,
DENI068,0,16,7,,21,,0.46
DENI068,1,15,7,,10,,0.46
DENI068,2,13,7,,6,,0.45
DENI068,3,12,7,,5,,0.42
DENI068,4,12,7,,6,,0.39
DENI068,5,13,7,,6,,0.37
DENI068,6,12,6,,9,,0.35
DENI068,7,11,6,,10,,0.34
DENI068,8,13,6,,11,,0.34
DENI068,9,12,6,,16,,0.35
DENI068,10,9,5,,11,,0.35
DENI068,11,11,6,,16,,0.36
DENI068,12,7,3,,8,,0.36
DENI068,13,7,3,,9,,0.34
DENI068,14,7,3,,13,,0.34
DENI068,15,7,3,,15,,0.32
DENI068,16,7,4,,17,,0.31
DENI068,17,8,4,,28,,0.3
DENI068,18,8,4,,24,,0.3
DENI068,19,8,4,,23,,0.29
DENI068,20,8,4,,21,,0.29
DENI068,21,5,2,,10,,0.29
DENI068,22,5,2,,8,,0.28
DENI068,23,7,2,,,,0.28
