station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,15,6,70,,0.5,
DENI042,1,13,6,67,5,,
DENI042,2,14,6,62,5,0.7,
DENI042,3,15,7,,6,0.7,
DENI042,4,13,6,56,6,0.8,
DENI042,5,13,6,47,13,0.3,
DENI042,6,16,7,42,16,0.3,
DENI042,7,23,9,44,21,0.2,
DENI042,8,36,11,40,42,1,
DENI042,9,24,9,85,17,0.2,
DENI042,10,22,9,113,7,1,
DENI042,11,23,10,130,6,0.9,
DENI042,12,25,11,144,6,0.2,
DENI042,13,28,13,145,4,0.6,
DENI042,14,26,13,140,4,0.5,
DENI042,15,26,13,140,4,0.6,
DENI042,16,26,13,146,4,0.7,
DENI042,17,24,13,145,4,0.4,
DENI042,18,27,14,136,4,0.8,
DENI042,19,82,21,101,11,0.4,
DENI042,20,70,20,99,11,0,
DENI042,21,90,23,96,10,0.2,
DENI042,22,29,15,92,8,0.1,
DENI042,23,22,13,86,6,0.3,
DENI068,0,37,11,,18,,0.36
DENI068,1,30,10,,,,0.34
DENI068,2,27,9,,11,,0.33
DENI068,3,25,9,,11,,0.32
DENI068,4,34,10,,19,,0.3
DENI068,5,29,11,,21,,0.3
DENI068,6,28,9,,28,,0.3
DENI068,7,28,9,,34,,0.32
DENI068,8,28,8,,32,,0.33
DENI068,9,27,8,,26,,0.34
DENI068,10,28,9,,24,,0.35
DENI068,11,28,10,,25,,0.36
DENI068,12,33,11,,23,,0.37
DENI068,13,29,12,,24,,0.38
DENI068,14,25,12,,18,,0.37
DENI068,15,26,12,,17,,0.36
DENI068,16,26,12,,27,,0.35
DENI068,17,26,13,,30,,0.36
DENI068,18,31,14,,32,,0.37
DENI068,19,35,15,,40,,0.38
DENI068,20,43,18,,48,,0.4
DENI068,21,45,17,,26,,0.4
DENI068,22,44,17,,25,,0.41
DENI068,23,40,16,,15,,0.4
