station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,7,4,21,5,0.8,
DENI042,1,8,5,,6,0.8,
DENI042,2,8,6,14,6,,
DENI042,3,8,6,13,,0,
DENI042,4,8,6,8,10,0.2,
DENI042,5,8,6,3,16,0.3,
DENI042,6,8,6,2,17,0.4,
DENI042,7,10,7,4,23,0.5,
DENI042,8,10,6,13,22,0.4,
DENI042,9,7,5,36,12,0.3,
DENI042,10,5,4,39,11,0.3,
DENI042,11,6,4,48,9,0.5,
DENI042,12,5,3,57,10,0.9,
DENI042,13,4,2,67,8,0.6,
DENI042,14,3,1,76,7,0.1,
DENI042,15,3,1,74,8,0.2,
DENI042,16,5,2,69,9,0.3,
DENI042,17,7,4,55,16,0.1,
DENI042,18,8,4,45,16,0.1,
DENI042,19,8,4,48,16,0.2,
DENI042,20,9,5,30,18,0.1,
DENI042,21,9,5,22,16,0.2,
DENI042,22,8,5,19,13,0.2,
DENI042,23,9,6,18,10,0.2,
DENI068,0,12,6,,18,,0.34
DENI068,1,11,6,,18,,0.32
DENI068,2,19,17,,20,,0.32
DENI068,3,11,7,,21,,0.31
DENI068,4,10,6,,20,,0.3
DENI068,5,11,7,,30,,0.32
DENI068,6,12,8,,37,,0.36
DENI068,7,11,7,,36,,0.39
DENI068,8,12,8,,36,,0.43
DENI068,9,12,7,,37,,0.47
DENI068,10,12,7,,32,,0.49
DENI068,11,11,6,,32,,0.51
DENI068,12,11,6,,41,,0.52
DENI068,13,10,5,,42,,0.5
DENI068,14,9,3,,39,,0.48
DENI068,15,9,4,,40,,0.45
DENI068,16,10,5,,46,,0.44
DENI068,17,13,8,,64,,0.46
DENI068,18,14,8,,51,,0.48
DENI068,19,12,6,,50,,0.48
DENI068,20,14,9,,50,,0.51
DENI068,21,14,9,,35,,0.54
DENI068,22,12,8,,29,,0.53
DENI068,23,11,7,,,,0.52
