station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,43,27,14,15,,
DENI042,1,38,26,13,12,0,
DENI042,2,34,24,13,9,0,
DENI042,3,32,24,,8,,
DENI042,4,31,23,14,7,,
DENI042,5,31,25,14,7,,
DENI042,6,29,24,11,7,0,
DENI042,7,35,33,19,11,,
DENI042,8,26,24,61,8,0.3,
DENI042,9,16,13,78,5,1,
DENI042,10,11,9,88,5,0.6,
DENI042,11,7,4,88,5,0.3,
DENI042,12,3,1,88,5,0,
DENI042,13,1,0.4,86,6,0.2,
DENI042,14,1,0.5,86,5,0,
DENI042,15,1,,86,4,,
DENI042,16,1,,83,4,,
DENI042,17,2,,81,4,0,
DENI042,18,2,,71,5,,
DENI042,19,3,0.3,50,14,,
DENI042,20,4,0.4,37,14,0,
DENI042,21,4,0.3,35,8,,
DENI042,22,4,0.4,33,,,
DENI042,23,4,0.4,30,7,0,
DENI068,0,57,35,,,,0.72
DENI068,1,55,34,,19,,0.68
DENI068,2,47,31,,17,,0.64
DENI068,3,45,31,,23,,0.57
DENI068,4,42,29,,14,,0.49
DENI068,5,40,27,,22,,0.42
DENI068,6,36,26,,18,,0.36
DENI068,7,33,24,,18,,0.32
DENI068,8,28,21,,27,,0.28
DENI068,9,20,15,,20,,0.24
DENI068,10,19,13,,22,,0.24
DENI068,11,13,8,,25,,0.23
DENI068,12,6,2,,24,,0.22
DENI068,13,4,1,,29,,0.21
DENI068,14,3,1,,26,,0.18
DENI068,15,3,0.9,,26,,0.15
DENI068,16,2,1,,33,,0.13
DENI068,17,2,0.7,,39,,0.12
DENI068,18,2,0.5,,35,,0.1
DENI068,19,3,0.7,,52,,0.11
DENI068,20,4,0.9,,38,,0.11
DENI068,21,6,2,,35,,0.11
DENI068,22,8,3,,22,,0.11
DENI068,23,7,2,,17,,0.11
