station,temp_mean,temp_max,temp_min,precipitation,wind_max,wind_mean,sunshine,cloud,pressure,humidity,snow
00006,,,,0.1,,,,,,,0
00011,,,,,6.6,1.6,,,,,
00019,,,,0.1,,,,,,,0
00020,,,,0,,,,,,,0
00021,,,,1.3,,,,,,,0
00022,,,,1.4,,,,,,,0
00023,,,,0,,,,,,,0
00029,,,,0.1,,,,,,,0
00041,,,,0,,,,,,,0
00044,2.4,5.1,-1.2,0,,,0,,,98,0
00046,,,,1.7,,,,,,,0
00053,,,,2.4,,,,,,,0
00055,,,,1.3,,,,,,,2
00057,,,,0.1,,,,,,,0
00063,,,,0.6,,,,,,,0
00064,,,,0,,,,,,,0
00073,1.5,2.2,0.8,0,,,,,,94,0
00078,2.8,5.6,-0.8,1,,,,,,95,0
00079,,,,1.3,,,,,,,0
00087,,,,0,,,,,,,0
00090,,,,,4.9,1.6,,,,,
00091,1.5,3.2,-0.4,0,,,,,,97,
00096,3.2,4.4,0.9,0.7,5.2,1.5,,7.8,1005.4,94,0
00102,3.4,5.7,1.8,,11.4,6.2,,,1006.1,92,
00103,,,,1,,,,,,,0
00105,,,,1.3,,,,,,,0
00110,,,,3.7,,,,,,,0
00118,,,,1.2,,,,,,,0
00121,,,,0,,,,,,,0
00124,,,,0,,,,,,,0
00125,0.9,,,0.2,5.1,1.6,,,923.3,97,2
00128,,,,2.1,,,,,,,0
00129,,,,1.8,,,,,,,0
00130,,,,0,,,,,,,0
00131,0.8,3.5,-0.5,0.1,,,,,,91,0
00141,,,,0,,,,,,,0
00142,1.5,3.5,-0.5,0.5,,,,,,97,0
00145,,,,0,,,,,,,0
00146,,,,1.2,,,,,,,
00150,3,5.3,1.4,0,,,,,,97,0
00151,1.4,2.3,0.3,0.1,,,,,,92,0
00154,1.1,2.4,0,1.6,,,,,,99,0
00158,,,,0.1,,,,,,,0
00160,,,,0.4,,,,,,,3
00161,3.7,7.1,-0.2,0.5,5.8,1.4,,7.1,1002.3,92,0
00163,,,,0.1,,,,,,,0
00164,3.8,4.7,2.3,3.6,6,2.1,,8,1005.1,97,0
00167,3.7,4.6,2.6,3.3,,,,,,97,0
00170,,,,0,,,,,,,0
00173,,,,0.2,,,,,,,0
00178,,,,0,,,,,,,0
00183,5,5.7,3.3,1.8,11.2,3.8,0,7.8,1007.1,95,0
00191,2.1,3.4,0.8,0,,,,,,91,0
00194,,,,0,,,,,,,0
00197,,,,,7.8,2.7,,,,,
00198,1.8,3.3,-0.1,0,6.2,2.5,,7.9,991.6,91,0
00200,,,,0.4,,,,,,,0
00201,,,,0.2,,,,,,,0
00202,,,,0,,,,,,,0
00203,,,,1.6,,,,,,,0
00205,,,,1.7,,,,,,,6
00211,,,,0,,,,,,,0
00213,,,,0.1,,,,,,,0
00216,,,,0.8,,,,,,,0
00217,0.8,2.3,-0.6,1.6,,,,,,97,2
00222,1.2,4,-1.4,0,,,,,,86,0
00223,,,,0,,,,,,,0
00227,,,,0,,,,,,,0
00232,2.4,4.6,0,0,4.7,1.5,0,7.9,956.2,91,0
00240,,,,0.1,,,,,,,0
00245,,,,0,,,,,,,0
00257,2.3,6.3,-1.2,0.5,,,,,,96,0
00259,4,8.1,-1.6,0.2,,,,,,90,0
00262,,,,0.5,,,,,,,0
