station,temp_mean,temp_max,temp_min,precipitation,wind_max,wind_mean,sunshine,cloud,pressure,humidity,snow
00006,,,,0,,,,,,,0
00011,,,,,5.9,1.6,,,,,
00019,,,,0,,,,,,,0
00020,,,,0,,,,,,,
00021,,,,0,,,,,,,0
00022,,,,0,,,,,,,0
00023,,,,0,,,,,,,0
00029,,,,0,,,,,,,
00041,,,,0,,,,,,,0
00044,15,23.2,7.4,0,,,8.4,,,68,
00046,,,,0,,,,,,,
00053,,,,0,,,,,,,
00055,,,,0,,,,,,,0
00057,,,,0,,,,,,,0
00063,,,,0,,,,,,,0
00064,,,,0,,,,,,,0
00073,13.5,20.2,5.1,0,,,,,,58,
00078,13.8,22.3,4.2,0,,,,,,68,
00079,,,,0,,,,,,,0
00087,,,,0,,,,,,,
00090,,,,,6.9,1.7,,,,,
00091,11.9,20.3,2.2,0,,,,,,69,
00096,11.9,15.5,7.4,0,8.2,2.2,,7,1011.4,85,0
00102,13.4,14.2,12.8,,8,5.1,,,1016,79,
00103,,,,0,,,,,,,
00105,,,,0,,,,,,,0
00110,,,,0,,,,,,,0
00118,,,,0,,,,,,,
00121,,,,0,,,,,,,0
00124,,,,0,,,,,,,
00125,12.4,,,0,9.8,2.1,,1.7,930.3,58,0
00128,,,,0,,,,,,,0
00129,,,,0.3,,,,,,,0
00130,,,,0,,,,,,,
00131,11.5,15.8,8.9,0,,,,,,83,
00141,,,,0,,,,,,,
00142,13.8,20.9,4.9,0,,,,,,53,
00145,,,,0,,,,,,,0
00146,,,,0,,,,,,,
00150,14.5,21.8,4.1,0,,,,,,55,
00151,12.1,20.7,1.7,0,,,,,,63,
00154,13.9,20.8,6.5,0,,,,,,57,
00158,,,,0,,,,,,,
00160,,,,0,,,,,,,0
00161,14.1,23,3.3,0,7.2,1.6,,1.8,1009.6,59,0
00163,,,,0,,,,,,,0
00164,11.3,15.6,8.2,0.6,11.6,4.2,,6.9,1009.9,84,0
00167,12.2,17.9,7.9,0.6,,,,,,80,
00170,,,,0,,,,,,,0
00173,,,,0,,,,,,,0
00178,,,,0,,,,,,,0
00183,12.1,16.5,9.5,0.3,10.9,4.6,5.6,4.8,1012.2,77,0
00187,,,,0,,,,,,,0
00191,12.4,21.8,2.1,0,,,,,,66,
00194,,,,0,,,,,,,
00197,,,,,7.8,2.1,,,,,
00198,13.4,19.1,8,0,7.2,2.2,,5.9,998.8,72,0
00200,,,,0,,,,,,,
00201,,,,0,,,,,,,0
00202,,,,0,,,,,,,0
00203,,,,0,,,,,,,0
00205,,,,0,,,,,,,
00211,,,,0,,,,,,,
00213,,,,0,,,,,,,
00216,,,,0,,,,,,,
00217,13.3,20.1,5.7,0,,,,,,57,
