station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,7,4,19,7,,
DENI042,1,8,4,10,13,,
DENI042,2,8,5,10,13,,
DENI042,3,7,4,11,8,,
DENI042,4,7,4,7,10,,
DENI042,5,8,5,2,13,,
DENI042,6,8,5,1,17,,
DENI042,7,9,6,2,23,,
DENI042,8,10,7,2,23,,
DENI042,9,11,7,18,18,,
DENI042,10,6,4,50,7,,
DENI042,11,4,3,71,5,,
DENI042,12,4,3,74,6,,
DENI042,13,4,2,69,8,,
DENI042,14,4,2,65,8,,
DENI042,15,3,0.7,54,9,,
DENI042,16,3,0.6,58,10,,
DENI042,17,4,0.8,61,12,,
DENI042,18,4,0.9,52,12,,
DENI042,19,4,0.8,47,11,,
DENI042,20,4,0.9,51,8,,
DENI042,21,4,1,49,10,,
DENI042,22,4,1,50,9,,
DENI042,23,5,2,,,,
DENI068,0,11,5,,29,,0.36
DENI068,1,10,5,,26,,0.35
DENI068,2,11,5,,20,,0.33
DENI068,3,9,5,,17,,0.31
DENI068,4,10,5,,,,0.29
DENI068,5,10,5,,28,,0.28
DENI068,6,12,7,,29,,0.29
DENI068,7,14,8,,28,,0.32
DENI068,8,16,8,,37,,0.36
DENI068,9,16,7,,27,,0.39
DENI068,10,15,5,,25,,0.42
DENI068,11,15,3,,26,,0.44
DENI068,12,18,3,,21,,0.46
DENI068,13,19,3,,22,,0.47
DENI068,14,20,2,,24,,0.48
DENI068,15,18,1,,28,,0.51
DENI068,16,14,0.9,,21,,0.52
DENI068,17,12,1,,26,,0.53
DENI068,18,9,0.9,,29,,0.53
DENI068,19,7,1,,27,,0.54
DENI068,20,6,1,,28,,0.56
DENI068,21,6,2,,25,,0.56
DENI068,22,6,2,,15,,0.55
DENI068,23,7,2,,14,,0.51
