station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,14,4,48,8,0.2,
DENI042,1,13,4,,,,
DENI042,2,13,5,40,7,,
DENI042,3,13,5,40,6,,
DENI042,4,13,6,36,6,,
DENI042,5,13,6,33,7,,
DENI042,6,13,7,28,6,,
DENI042,7,13,7,38,7,,
DENI042,8,14,9,69,5,,
DENI042,9,12,10,78,5,0.3,
DENI042,10,10,9,84,4,0.9,
DENI042,11,7,6,81,3,0.7,
DENI042,12,7,4,75,3,0.3,
DENI042,13,7,3,77,2,0.2,
DENI042,14,7,3,81,3,0.2,
DENI042,15,9,3,87,3,,
DENI042,16,10,4,92,3,0,
DENI042,17,12,3,91,4,,
DENI042,18,14,4,91,4,0,
DENI042,19,17,5,77,7,,
DENI042,20,19,5,50,16,,
DENI042,21,17,5,44,12,,
DENI042,22,16,4,46,9,,
DENI042,23,14,4,45,6,,
DENI068,0,26,9,,15,,0.39
DENI068,1,23,7,,14,,0.37
DENI068,2,19,6,,9,,0.35
DENI068,3,16,6,,8,,0.33
DENI068,4,15,6,,8,,0.3
DENI068,5,14,6,,8,,0.27
DENI068,6,13,6,,10,,0.24
DENI068,7,14,7,,9,,0.22
DENI068,8,17,8,,10,,0.24
DENI068,9,19,9,,11,,0.26
DENI068,10,18,8,,11,,0.29
DENI068,11,16,5,,8,,0.32
DENI068,12,14,3,,9,,0.34
DENI068,13,14,3,,8,,0.36
DENI068,14,14,3,,9,,0.38
DENI068,15,14,3,,8,,0.39
DENI068,16,14,3,,9,,0.39
DENI068,17,14,3,,10,,0.38
DENI068,18,18,4,,19,,0.39
DENI068,19,22,6,,18,,0.4
DENI068,20,31,10,,23,,0.42
DENI068,21,28,8,,20,,0.45
DENI068,22,25,7,,13,,0.48
DENI068,23,20,5,,10,,0.49
