station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,8,2,26,6,,
DENI042,1,7,2,25,5,0.3,
DENI042,2,8,2,18,5,1,
DENI042,3,9,3,15,6,1,
DENI042,4,12,4,22,,0.8,
DENI042,5,15,8,42,7,1,
DENI042,6,14,8,44,9,0.9,
DENI042,7,14,10,56,7,0.7,
DENI042,8,14,10,62,5,0.3,
DENI042,9,11,9,66,5,0.9,
DENI042,10,8,7,72,4,0.8,
DENI042,11,7,7,74,4,0.5,
DENI042,12,8,7,73,4,0.8,
DENI042,13,7,7,75,3,0.6,
DENI042,14,6,6,77,3,0.8,
DENI042,15,7,6,76,3,0.6,
DENI042,16,10,7,75,3,0.7,
DENI042,17,11,9,75,4,0.8,
DENI042,18,10,8,78,4,0.7,
DENI042,19,10,7,76,4,0.9,
DENI042,20,11,7,60,9,1,
DENI042,21,15,9,37,13,1,
DENI042,22,15,9,28,11,0.7,
DENI042,23,15,9,,10,0.3,
DENI068,0,12,5,,15,,0.3
DENI068,1,16,11,,14,,0.31
DENI068,2,8,5,,12,,0.31
DENI068,3,10,7,,16,,0.29
DENI068,4,11,7,,23,,0.27
DENI068,5,11,7,,28,,0.24
DENI068,6,12,8,,20,,0.21
DENI068,7,15,10,,16,,0.19
DENI068,8,17,11,,23,,0.19
DENI068,9,14,9,,22,,0.17
DENI068,10,13,8,,16,,0.18
DENI068,11,13,7,,18,,0.18
DENI068,12,14,7,,16,,0.19
DENI068,13,14,7,,15,,0.2
DENI068,14,14,6,,10,,0.21
DENI068,15,13,6,,9,,0.21
DENI068,16,14,7,,13,,0.22
DENI068,17,14,9,,13,,0.22
DENI068,18,12,8,,14,,0.22
DENI068,19,12,7,,19,,0.22
DENI068,20,13,9,,30,,0.23
DENI068,21,16,13,,42,,0.25
DENI068,22,19,16,,39,,0.28
DENI068,23,18,16,,,,0.3
