station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,,4,65,14,,
DENI042,1,,3,67,13,,
DENI042,2,,3,64,15,,
DENI042,3,,3,65,13,,
DENI042,4,,4,68,13,,
DENI042,5,,5,66,,,
DENI042,6,,5,63,18,,
DENI042,7,,8,65,14,,
DENI042,8,,8,68,13,,
DENI042,9,,6,69,,,
DENI042,10,,6,68,11,,
DENI042,11,,4,65,12,,
DENI042,12,,2,62,12,,
DENI042,13,,3,62,12,,
DENI042,14,,4,64,11,,
DENI042,15,,5,61,13,,
DENI042,16,,3,53,17,,
DENI042,17,,1,49,22,,
DENI042,18,,2,59,14,,
DENI042,19,,2,70,14,,
DENI042,20,,3,69,13,,
DENI042,21,,3,67,14,,
DENI042,22,,3,69,11,,
DENI042,23,,4,,12,,
DENI068,0,,3,,7,,0.39
DENI068,1,,2,,6,,0.37
DENI068,2,,2,,,,0.35
DENI068,3,,2,,7,,0.32
DENI068,4,,4,,8,,0.29
DENI068,5,,5,,34,,0.27
DENI068,6,,5,,28,,0.26
DENI068,7,,7,,43,,0.25
DENI068,8,,7,,32,,0.26
DENI068,9,,,,,,0.26
DENI068,10,,,,,,0.27
DENI068,13,9,5,,16,,
DENI068,14,9,5,,17,,
DENI068,15,9,6,,18,,
DENI068,16,8,4,,22,,
DENI068,17,7,2,,23,,
DENI068,18,8,2,,25,,
DENI068,19,8,3,,12,,
DENI068,20,9,3,,16,,0.36
DENI068,21,9,3,,10,,0.37
DENI068,22,10,3,,7,,0.37
DENI068,23,10,3,,7,,0.39
