station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,14,11,14,15,,
DENI042,1,15,12,19,,,
DENI042,2,14,12,,8,,
DENI042,3,16,13,18,9,0.2,
DENI042,4,18,15,15,11,0.3,
DENI042,5,19,15,14,11,0.9,
DENI042,6,16,13,12,11,0.1,
DENI042,7,16,13,6,21,0.4,
DENI042,8,20,16,7,24,0.5,
DENI042,9,20,17,8,24,0,
DENI042,10,20,17,12,21,0,
DENI042,11,17,14,18,17,0,
DENI042,12,15,13,19,16,,
DENI042,13,14,11,21,16,,
DENI042,14,12,10,20,20,,
DENI042,15,11,9,21,21,0.1,
DENI042,16,7,5,26,15,,
DENI042,17,8,6,18,22,0,
DENI042,18,7,6,31,15,0.2,
DENI042,19,8,6,30,13,,
DENI042,20,8,7,30,12,0,
DENI042,21,7,5,30,10,,
DENI042,22,7,5,32,9,,
DENI042,23,6,5,33,8,0.2,
DENI068,0,18,13,,19,,0.45
DENI068,1,18,13,,,,0.43
DENI068,2,17,13,,19,,0.41
DENI068,3,18,13,,17,,0.4
DENI068,4,19,14,,16,,0.38
DENI068,5,22,15,,24,,0.37
DENI068,6,23,15,,36,,0.36
DENI068,7,26,14,,41,,0.38
DENI068,8,26,16,,35,,0.4
DENI068,9,69,23,,32,,0.42
DENI068,10,24,16,,30,,0.44
DENI068,11,27,17,,29,,0.45
DENI068,12,22,15,,29,,0.46
DENI068,13,20,13,,33,,0.47
DENI068,14,16,11,,37,,0.47
DENI068,15,15,11,,40,,0.47
DENI068,16,12,9,,42,,0.48
DENI068,17,12,9,,36,,0.49
DENI068,18,10,7,,32,,0.5
DENI068,19,10,7,,28,,0.49
DENI068,20,10,7,,22,,0.49
DENI068,21,9,6,,21,,0.47
DENI068,22,10,7,,16,,0.45
DENI068,23,8,5,,18,,0.42
