station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,10,5,72,,0.8,
DENI042,1,9,4,69,6,0.3,
DENI042,2,8,4,65,5,0.5,
DENI042,3,7,4,69,4,0.6,
DENI042,4,6,4,64,5,0.6,
DENI042,5,7,4,59,5,0.4,
DENI042,6,7,5,55,4,0.5,
DENI042,7,7,5,54,5,0.6,
DENI042,8,5,5,61,5,0.6,
DENI042,9,5,5,77,4,1,
DENI042,10,5,4,84,4,1,
DENI042,11,6,4,88,4,0.7,
DENI042,12,8,4,92,3,0.1,
DENI042,13,9,3,92,2,,
DENI042,14,10,3,95,2,0.2,
DENI042,15,12,4,99,2,0,
DENI042,16,13,4,100,2,,
DENI042,17,13,4,99,2,0.2,
DENI042,18,14,4,98,3,0.2,
DENI042,19,14,5,93,6,0.1,
DENI042,20,15,5,74,9,,
DENI042,21,14,5,58,8,0.2,
DENI042,22,13,5,61,6,,
DENI042,23,12,6,60,6,0,
DENI068,0,11,4,,11,,0.3
DENI068,1,10,4,,,,0.29
DENI068,2,8,4,,8,,0.27
DENI068,3,7,3,,11,,0.25
DENI068,4,7,4,,10,,0.24
DENI068,5,9,4,,10,,0.21
DENI068,6,10,5,,10,,0.19
DENI068,7,9,5,,14,,0.17
DENI068,8,4,5,,13,,0.16
DENI068,9,2,4,,12,,0.17
DENI068,10,4,4,,16,,0.16
DENI068,11,5,3,,11,,0.17
DENI068,12,5,3,,13,,0.16
DENI068,13,6,3,,14,,0.16
DENI068,14,7,3,,14,,0.15
DENI068,15,9,4,,15,,0.15
DENI068,16,10,4,,12,,0.14
DENI068,17,11,4,,16,,0.13
DENI068,18,23,7,,16,,0.14
DENI068,19,18,6,,16,,0.15
DENI068,20,18,5,,28,,0.18
DENI068,21,27,8,,41,,0.21
DENI068,22,22,7,,24,,0.23
DENI068,23,24,7,,21,,0.23
