station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,13,4,,4,,
DENI042,1,11,4,66,,0.2,
DENI042,2,9,3,49,5,0.3,
DENI042,3,8,3,42,5,0.3,
DENI042,4,7,3,33,6,0.3,
DENI042,5,6,3,24,13,0.1,
DENI042,6,8,5,49,13,0.5,
DENI042,7,8,7,69,6,0.6,
DENI042,8,6,6,76,5,0.5,
DENI042,9,4,4,79,5,0.9,
DENI042,10,5,4,83,4,0.4,
DENI042,11,6,4,86,4,0.5,
DENI042,12,6,4,88,3,0.5,
DENI042,13,6,3,91,3,0.2,
DENI042,14,7,3,90,3,,
DENI042,15,9,3,87,3,,
DENI042,16,10,3,89,3,0,
DENI042,17,11,3,92,3,,
DENI042,18,14,3,97,4,,
DENI042,19,18,4,106,5,0.5,
DENI042,20,18,5,94,9,0.6,
DENI042,21,15,5,71,9,,
DENI042,22,14,4,70,7,0.1,
DENI042,23,14,4,69,5,0.4,
DENI068,0,15,4,,11,,0.27
DENI068,1,12,4,,10,,0.26
DENI068,2,10,3,,,,0.25
DENI068,3,11,4,,18,,0.24
DENI068,4,11,4,,24,,0.23
DENI068,5,14,5,,29,,0.23
DENI068,6,12,5,,43,,0.25
DENI068,7,11,6,,35,,0.26
DENI068,8,9,5,,25,,0.26
DENI068,9,6,3,,20,,0.26
DENI068,10,6,3,,18,,0.27
DENI068,11,7,4,,15,,0.27
DENI068,12,5,3,,17,,0.26
DENI068,13,4,3,,15,,0.25
DENI068,14,5,2,,25,,0.22
DENI068,15,5,2,,17,,0.21
DENI068,16,6,3,,21,,0.2
DENI068,17,6,3,,17,,0.2
DENI068,18,10,3,,18,,0.2
DENI068,19,13,5,,25,,0.21
DENI068,20,25,9,,14,,0.22
DENI068,21,32,11,,21,,0.23
DENI068,22,22,7,,16,,0.23
DENI068,23,18,6,,13,,0.24
