station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,20,13,41,10,0.5,
DENI042,1,18,11,40,,0.4,
DENI042,2,14,9,39,9,0.5,
DENI042,3,12,7,,9,,
DENI042,4,11,6,34,9,0.1,
DENI042,5,10,6,29,11,0.6,
DENI042,6,12,6,26,14,0.5,
DENI042,7,22,19,20,26,0.1,
DENI042,8,23,22,28,31,1,
DENI042,9,20,22,48,26,1,
DENI042,10,13,14,80,11,0.9,
DENI042,11,11,10,93,7,1,
DENI042,12,10,8,101,5,0.9,
DENI042,13,8,6,104,5,0.7,
DENI042,14,7,5,106,5,1,
DENI042,15,8,4,107,4,1,
DENI042,16,9,5,108,4,0.7,
DENI042,17,11,7,108,5,1,
DENI042,18,11,7,106,5,0.9,
DENI042,19,8,5,96,6,0.9,
DENI042,20,7,4,86,8,1,
DENI042,21,9,5,70,10,0.8,
DENI042,22,11,6,53,13,0.8,
DENI042,23,9,6,47,10,0.9,
DENI068,0,19,18,,24,,0.22
DENI068,1,17,16,,25,,0.26
DENI068,2,16,15,,,,0.28
DENI068,3,19,18,,31,,0.32
DENI068,4,18,18,,27,,0.33
DENI068,5,18,18,,29,,0.31
DENI068,6,19,19,,25,,0.31
DENI068,7,19,20,,23,,0.32
DENI068,8,22,22,,26,,0.3
DENI068,9,22,17,,27,,0.3
DENI068,10,18,9,,20,,0.28
DENI068,11,17,7,,15,,0.25
DENI068,12,17,7,,13,,0.23
DENI068,13,17,6,,11,,0.2
DENI068,14,16,5,,11,,0.16
DENI068,15,16,4,,11,,0.13
DENI068,16,17,5,,14,,0.11
DENI068,17,17,6,,21,,0.09
DENI068,18,16,7,,24,,0.1
DENI068,19,14,6,,34,,0.12
DENI068,20,13,5,,31,,0.13
DENI068,21,12,7,,45,,0.18
DENI068,22,13,9,,42,,0.19
DENI068,23,12,9,,38,,0.21
