station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,12,4,67,4,0.1,
DENI042,1,11,4,,4,,
DENI042,2,10,4,57,,1,
DENI042,3,9,4,51,4,1,
DENI042,4,8,4,44,6,1,
DENI042,5,9,4,30,16,2,
DENI042,6,10,6,27,26,1,
DENI042,7,10,6,62,14,2,
DENI042,8,10,7,68,11,2,
DENI042,9,11,6,83,6,2,
DENI042,10,11,6,87,6,2,
DENI042,11,11,5,91,4,2,
DENI042,12,13,6,98,4,1,
DENI042,13,13,6,97,4,1,
DENI042,14,14,5,99,4,1,
DENI042,15,15,4,103,4,0.7,
DENI042,16,17,5,104,4,0.9,
DENI042,17,16,4,103,4,0.8,
DENI042,18,16,5,103,5,1,
DENI042,19,15,4,98,4,1,
DENI042,20,15,5,88,8,0.6,
DENI042,21,16,5,79,9,0.8,
DENI042,22,13,4,87,5,1,
DENI042,23,11,4,78,6,1,
DENI068,0,21,6,,16,,0.24
DENI068,1,22,6,,17,,0.24
DENI068,2,127,25,,14,,0.27
DENI068,3,12,6,,,,0.28
DENI068,4,12,7,,20,,0.27
DENI068,5,14,7,,32,,0.28
DENI068,6,17,8,,42,,0.3
DENI068,7,17,8,,47,,0.31
DENI068,8,13,7,,44,,0.32
DENI068,9,11,5,,23,,0.33
DENI068,10,11,5,,22,,0.3
DENI068,11,10,6,,19,,0.3
DENI068,12,9,5,,19,,0.29
DENI068,13,9,5,,17,,0.29
DENI068,14,9,4,,22,,0.26
DENI068,15,10,4,,22,,0.25
DENI068,16,10,5,,19,,0.24
DENI068,17,10,4,,20,,0.23
DENI068,18,11,4,,25,,0.24
DENI068,19,12,4,,18,,0.23
DENI068,20,13,5,,25,,0.24
DENI068,21,16,5,,17,,0.23
DENI068,22,12,4,,14,,0.23
DENI068,23,12,4,,10,,0.23
