station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,10,6,10,6,,
DENI042,1,10,5,11,5,,
DENI042,2,10,6,8,5,,
DENI042,3,10,6,8,5,,
DENI042,4,10,6,7,5,,
DENI042,5,9,5,4,6,,
DENI042,6,10,6,4,7,,
DENI042,7,11,7,5,7,,
DENI042,8,12,7,12,7,,
DENI042,9,13,7,33,6,,
DENI042,10,9,5,44,5,,
DENI042,11,9,5,48,4,,
DENI042,12,9,5,49,5,,
DENI042,13,8,5,55,4,,
DENI042,14,9,5,54,5,,
DENI042,15,10,4,51,8,,
DENI042,16,10,4,54,6,,
DENI042,17,12,4,47,10,,
DENI042,18,14,5,39,11,,
DENI042,19,15,5,34,10,,
DENI042,20,15,5,30,9,,
DENI042,21,14,5,20,10,,
DENI042,22,14,6,15,10,,
DENI042,23,13,5,,,,
DENI068,0,49,10,,,,0.64
DENI068,1,30,15,,15,,0.62
DENI068,2,14,9,,11,,0.57
DENI068,3,10,7,,13,,0.51
DENI068,4,11,8,,13,,0.45
DENI068,5,11,8,,12,,0.41
DENI068,6,10,7,,12,,0.38
DENI068,7,9,7,,12,,0.38
DENI068,8,15,8,,19,,0.4
DENI068,9,15,8,,32,,0.42
DENI068,10,7,5,,16,,0.41
DENI068,11,12,6,,18,,0.46
DENI068,12,13,5,,17,,0.46
DENI068,13,14,5,,14,,0.44
DENI068,14,16,5,,17,,0.44
DENI068,15,16,5,,24,,0.43
DENI068,16,16,4,,40,,0.41
DENI068,17,19,5,,44,,0.4
DENI068,18,27,8,,46,,0.44
DENI068,19,27,9,,38,,0.41
DENI068,20,26,9,,30,,0.43
DENI068,21,22,8,,26,,0.45
DENI068,22,18,7,,18,,0.45
DENI068,23,15,6,,16,,0.45
