station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,13,16,53,10,,
DENI042,1,14,16,39,11,,
DENI042,2,13,15,34,10,,
DENI042,3,13,14,30,11,,
DENI042,4,12,14,,10,,
DENI042,5,13,14,27,13,,
DENI042,6,15,16,17,22,,
DENI042,7,15,16,13,25,,
DENI042,8,17,18,14,29,,
DENI042,9,17,19,33,18,,
DENI042,10,17,20,41,12,,
DENI042,11,18,21,43,10,,
DENI042,12,16,19,53,8,,
DENI042,13,10,12,75,5,,
DENI042,14,9,11,79,4,,
DENI042,15,9,10,78,5,,
DENI042,16,7,8,81,5,,
DENI042,17,8,10,79,6,,
DENI042,18,7,8,80,5,,
DENI042,19,5,5,82,4,,
DENI042,20,6,6,81,5,,
DENI042,21,6,6,79,5,,
DENI042,22,8,8,76,6,,
DENI042,23,9,11,67,,,
DENI068,0,32,25,,52,,0.43
DENI068,1,27,22,,43,,0.47
DENI068,2,25,21,,42,,0.49
DENI068,3,25,22,,37,,0.51
DENI068,4,23,21,,35,,0.52
DENI068,5,22,19,,36,,0.53
DENI068,6,21,19,,36,,0.52
DENI068,7,22,19,,31,,0.5
DENI068,8,22,20,,32,,0.47
DENI068,9,20,18,,20,,0.45
DENI068,10,22,20,,18,,0.44
DENI068,11,23,22,,18,,0.44
DENI068,12,20,20,,17,,0.43
DENI068,13,12,13,,23,,0.41
DENI068,14,11,11,,26,,0.37
DENI068,15,10,11,,28,,0.34
DENI068,16,7,8,,18,,0.31
DENI068,17,9,10,,23,,0.29
DENI068,18,6,9,,19,,0.27
DENI068,19,4,6,,14,,0.24
DENI068,20,5,6,,19,,0.21
DENI068,21,4,6,,21,,0.19
DENI068,22,5,7,,17,,0.17
DENI068,23,6,8,,24,,0.17
