station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,10,2,72,4,,
DENI042,1,9,2,64,5,,
DENI042,2,9,2,56,6,,
DENI042,3,9,3,46,9,,
DENI042,4,9,3,,,,
DENI042,5,9,4,25,21,,
DENI042,6,9,4,17,25,,
DENI042,7,12,7,8,40,,
DENI042,8,12,7,25,36,0.9,
DENI042,9,7,5,62,8,1,
DENI042,10,8,4,75,6,2,
DENI042,11,9,4,86,5,1,
DENI042,12,10,4,91,4,0.8,
DENI042,13,10,4,96,4,0.9,
DENI042,14,12,4,95,4,0.2,
DENI042,15,13,4,96,3,,
DENI042,16,14,4,97,4,,
DENI042,17,15,4,97,4,0.4,
DENI042,18,15,3,92,4,0.3,
DENI042,19,15,3,85,5,0.1,
DENI042,20,14,3,79,6,0.5,
DENI042,21,13,3,74,6,0.5,
DENI042,22,12,3,70,6,0.9,
DENI042,23,10,3,66,6,1,
DENI068,0,5,2,,17,,0.1
DENI068,1,4,2,,13,,0.1
DENI068,2,134,12,,20,,0.12
DENI068,3,27,19,,21,,0.12
DENI068,4,2,3,,23,,0.14
DENI068,5,4,4,,33,,0.16
DENI068,6,8,6,,44,,0.2
DENI068,7,9,7,,50,,0.24
DENI068,8,11,7,,49,,0.27
DENI068,9,13,6,,39,,0.29
DENI068,10,12,5,,23,,0.29
DENI068,11,13,5,,25,,0.28
DENI068,12,15,4,,26,,0.29
DENI068,13,18,4,,22,,0.28
DENI068,14,19,4,,25,,0.27
DENI068,15,19,4,,24,,0.25
DENI068,16,21,4,,17,,0.24
DENI068,17,20,4,,16,,0.22
DENI068,18,19,4,,19,,0.21
DENI068,19,15,3,,14,,0.2
DENI068,20,11,3,,16,,0.2
DENI068,21,8,3,,16,,0.19
DENI068,22,6,2,,13,,0.18
DENI068,23,9,3,,,,0.18
