station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,10,6,23,,,
DENI042,1,11,7,16,19,,
DENI042,2,13,9,8,24,,
DENI042,3,14,9,,22,,
DENI042,4,16,10,13,20,,
DENI042,5,12,7,11,15,,
DENI042,6,14,9,7,20,,
DENI042,7,17,11,4,26,,
DENI042,8,23,15,32,14,0,
DENI042,9,25,16,43,13,,
DENI042,10,30,18,50,12,0.1,
DENI042,11,30,18,50,16,0,
DENI042,12,25,14,58,15,,
DENI042,13,14,7,72,9,0,
DENI042,14,12,6,67,11,0,
DENI042,15,10,5,73,8,,
DENI042,16,8,4,71,7,,
DENI042,17,9,5,42,22,,
DENI042,18,12,6,31,26,,
DENI042,19,11,7,33,20,,
DENI042,20,10,6,32,18,,
DENI042,21,9,6,33,15,,
DENI042,22,9,6,29,15,,
DENI042,23,8,5,31,10,,
DENI068,0,22,12,,31,,0.51
DENI068,1,21,12,,22,,0.46
DENI068,2,21,12,,20,,0.4
DENI068,3,21,12,,20,,0.36
DENI068,4,21,12,,,,0.31
DENI068,5,20,13,,22,,0.28
DENI068,6,21,13,,26,,0.27
DENI068,7,22,13,,23,,0.26
DENI068,8,25,14,,23,,0.3
DENI068,9,31,17,,33,,0.32
DENI068,10,36,20,,40,,0.34
DENI068,11,39,22,,34,,0.36
DENI068,12,32,18,,31,,0.38
DENI068,13,19,11,,30,,0.39
DENI068,14,19,11,,34,,0.39
DENI068,15,17,10,,47,,0.42
DENI068,16,16,9,,69,,0.41
DENI068,17,21,11,,75,,0.46
DENI068,18,28,14,,65,,0.52
DENI068,19,22,12,,52,,0.54
DENI068,20,21,12,,38,,0.56
DENI068,21,21,12,,40,,0.57
DENI068,22,19,11,,24,,0.57
DENI068,23,18,11,,26,,0.56
