station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,26,18,74,10,,
DENI042,1,21,14,68,9,0.4,
DENI042,2,20,13,61,9,0.1,
DENI042,3,19,13,58,9,0.2,
DENI042,4,19,13,51,14,0.1,
DENI042,5,18,13,37,28,,
DENI042,6,26,17,19,42,0.1,
DENI042,7,28,17,20,48,0.4,
DENI042,8,23,14,44,44,0.6,
DENI042,9,19,11,76,28,2,
DENI042,10,14,8,114,8,2,
DENI042,11,15,8,140,5,1,
DENI042,12,14,7,137,5,1,
DENI042,13,14,6,137,4,1,
DENI042,14,15,7,141,6,0.8,
DENI042,15,17,7,141,5,0.1,
DENI042,16,19,9,144,5,0.3,
DENI042,17,22,12,143,5,0.9,
DENI042,18,23,14,143,5,0.7,
DENI042,19,27,16,129,9,0.8,
DENI042,20,36,27,122,9,0.3,
DENI042,21,41,34,134,8,0.4,
DENI042,22,38,32,139,6,1,
DENI042,23,39,31,,,1,
DENI068,0,32,14,,31,,0.23
DENI068,1,29,13,,27,,0.23
DENI068,2,29,15,,20,,0.23
DENI068,3,24,13,,17,,0.24
DENI068,4,25,14,,24,,0.24
DENI068,5,27,15,,34,,0.25
DENI068,6,26,14,,41,,0.28
DENI068,7,26,11,,53,,0.31
DENI068,8,24,11,,43,,0.34
DENI068,9,22,11,,52,,0.37
DENI068,10,19,10,,46,,0.37
DENI068,11,19,13,,49,,0.38
DENI068,12,20,13,,43,,0.39
DENI068,13,20,13,,42,,0.39
DENI068,14,20,13,,38,,0.37
DENI068,15,21,13,,41,,0.36
DENI068,16,21,13,,48,,0.35
DENI068,17,23,14,,47,,0.34
DENI068,18,24,15,,41,,0.34
DENI068,19,24,15,,27,,0.34
DENI068,20,29,18,,22,,0.33
DENI068,21,33,20,,12,,0.31
DENI068,22,32,20,,12,,0.3
DENI068,23,31,19,,,,0.29
