station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,20,15,50,15,,
DENI042,1,19,15,50,13,0,
DENI042,2,18,14,47,,,
DENI042,3,19,15,46,14,0.1,
DENI042,4,18,15,41,19,0.2,
DENI042,5,16,13,38,22,0.5,
DENI042,6,16,12,34,32,0.7,
DENI042,7,19,15,35,32,0.7,
DENI042,8,22,18,30,37,0.4,
DENI042,9,25,21,31,32,,
DENI042,10,22,19,28,33,,
DENI042,11,17,14,40,27,,
DENI042,12,7,5,76,11,0,
DENI042,13,5,3,83,9,,
DENI042,14,5,2,87,7,,
DENI042,15,3,0.5,89,6,,
DENI042,16,3,,88,6,,
DENI042,17,3,,86,6,,
DENI042,18,4,,79,12,,
DENI042,19,5,0,52,31,,
DENI042,20,8,2,24,48,,
DENI042,21,10,3,19,46,,
DENI042,22,13,6,24,39,,
DENI042,23,11,5,,26,,
DENI068,0,31,25,,56,,0.59
DENI068,1,29,24,,44,,0.6
DENI068,2,53,47,,,,0.61
DENI068,3,60,52,,36,,0.63
DENI068,4,21,16,,33,,0.58
DENI068,5,21,15,,48,,0.5
DENI068,6,18,13,,66,,0.5
DENI068,7,21,16,,70,,0.49
DENI068,8,26,18,,78,,0.53
DENI068,9,38,24,,58,,0.55
DENI068,10,43,22,,66,,0.56
DENI068,11,32,20,,73,,0.55
DENI068,12,17,9,,75,,0.71
DENI068,13,13,7,,44,,0.7
DENI068,14,13,7,,41,,0.68
DENI068,15,9,4,,32,,0.65
DENI068,16,16,6,,27,,0.59
DENI068,17,9,4,,30,,0.55
DENI068,18,15,7,,63,,0.55
DENI068,19,28,12,,97,,0.6
DENI068,20,47,23,,102,,0.6
DENI068,21,42,25,,97,,0.74
DENI068,22,35,23,,78,,0.88
DENI068,23,38,25,,68,,0.99
