station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,18,15,13,24,,
DENI042,1,20,19,12,20,0,
DENI042,2,21,21,,19,,
DENI042,3,22,22,11,19,,
DENI042,4,26,26,20,17,0.1,
DENI042,5,24,24,10,19,,
DENI042,6,24,24,5,24,,
DENI042,7,25,25,10,23,0,
DENI042,8,26,25,31,16,,
DENI042,9,24,23,26,25,0.3,
DENI042,10,16,15,55,15,,
DENI042,11,10,9,79,8,,
DENI042,12,12,12,74,9,,
DENI042,13,9,8,85,8,,
DENI042,14,7,6,91,7,0,
DENI042,15,7,6,89,7,,
DENI042,16,7,7,89,8,,
DENI042,17,8,8,88,9,0.1,
DENI042,18,13,13,81,11,0.3,
DENI042,19,16,16,76,13,0.5,
DENI042,20,18,17,74,14,0.8,
DENI042,21,19,19,72,14,0.5,
DENI042,22,18,18,65,14,0.2,
DENI042,23,18,18,51,,,
DENI068,0,35,26,,38,,0.63
DENI068,1,35,28,,35,,0.63
DENI068,2,35,29,,37,,0.58
DENI068,3,37,31,,31,,0.51
DENI068,4,36,31,,28,,0.47
DENI068,5,37,32,,34,,0.42
DENI068,6,36,32,,29,,0.36
DENI068,7,34,30,,32,,0.35
DENI068,8,35,30,,36,,0.35
DENI068,9,36,29,,37,,0.35
DENI068,10,26,20,,37,,0.34
DENI068,11,18,14,,37,,0.35
DENI068,12,16,11,,42,,0.35
DENI068,13,14,11,,36,,0.35
DENI068,14,16,13,,46,,0.35
DENI068,15,17,14,,33,,0.34
DENI068,16,17,13,,43,,0.34
DENI068,17,18,15,,51,,0.33
DENI068,18,23,20,,42,,0.33
DENI068,19,27,25,,50,,0.33
DENI068,20,29,26,,51,,0.33
DENI068,21,36,34,,60,,0.34
DENI068,22,37,34,,67,,0.35
DENI068,23,40,36,,,,0.38
