station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,9,4,59,11,,
DENI042,1,10,5,58,12,,
DENI042,2,12,6,55,15,,
DENI042,3,14,7,53,14,,
DENI042,4,14,7,56,11,,
DENI042,5,13,7,56,11,,
DENI042,6,12,7,58,10,,
DENI042,7,12,6,59,12,,
DENI042,8,12,6,57,13,,
DENI042,9,12,6,55,14,,
DENI042,10,10,5,54,15,,
DENI042,11,8,4,63,8,,
DENI042,12,6,4,68,8,,
DENI042,13,7,5,68,9,,
DENI042,14,7,5,69,9,,
DENI042,15,8,5,69,8,,
DENI042,16,8,5,65,11,,
DENI042,17,9,5,61,13,,
DENI042,18,11,7,54,18,,
DENI042,19,9,6,59,13,,
DENI042,20,9,6,59,11,,
DENI042,21,8,6,58,10,,
DENI042,22,8,6,58,9,,
DENI042,23,8,6,57,8,,
DENI068,0,11,5,,13,,0.13
DENI068,1,9,5,,8,,0.12
DENI068,2,14,7,,,,0.11
DENI068,3,16,8,,14,,0.11
DENI068,4,15,8,,14,,0.1
DENI068,5,15,8,,19,,0.11
DENI068,6,13,7,,16,,0.11
DENI068,7,12,6,,29,,0.11
DENI068,8,14,7,,32,,0.12
DENI068,9,14,7,,37,,0.14
DENI068,10,14,7,,36,,0.16
DENI068,11,11,6,,26,,0.18
DENI068,12,8,5,,14,,0.19
DENI068,13,9,5,,20,,0.19
DENI068,14,10,6,,27,,0.2
DENI068,15,11,6,,31,,0.22
DENI068,16,11,6,,34,,0.22
DENI068,17,15,7,,45,,0.24
DENI068,18,16,7,,37,,0.25
DENI068,19,12,6,,31,,0.25
DENI068,20,12,6,,26,,0.26
DENI068,21,11,6,,23,,0.26
DENI068,22,14,7,,21,,0.26
DENI068,23,14,8,,34,,0.27
