station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,13,6,47,12,,
DENI042,1,12,5,51,10,,
DENI042,2,10,4,,,,
DENI042,3,9,4,55,8,,
DENI042,4,9,4,55,7,,
DENI042,5,9,4,54,7,,
DENI042,6,10,5,50,11,,
DENI042,7,11,6,45,15,,
DENI042,8,12,6,46,14,,
DENI042,9,10,5,47,12,0.1,
DENI042,10,6,3,51,10,,
DENI042,11,8,4,53,10,,
DENI042,12,7,4,56,10,,
DENI042,13,6,4,56,10,0,
DENI042,14,4,3,62,9,0.1,
DENI042,15,3,2,63,10,0.3,
DENI042,16,4,2,66,10,,
DENI042,17,4,2,67,10,0.5,
DENI042,18,4,1,73,9,0.3,
DENI042,19,3,1,78,7,0.3,
DENI042,20,4,2,78,6,0.6,
DENI042,21,4,2,78,6,0.6,
DENI042,22,4,2,78,5,0.8,
DENI042,23,4,2,75,7,0.1,
DENI068,0,13,6,,,,0.22
DENI068,1,11,5,,17,,0.22
DENI068,2,12,5,,11,,0.22
DENI068,3,9,4,,11,,0.19
DENI068,4,8,4,,10,,0.18
DENI068,5,10,4,,18,,0.19
DENI068,6,12,5,,40,,0.21
DENI068,7,16,7,,51,,0.23
DENI068,8,16,7,,37,,0.26
DENI068,9,14,6,,35,,0.28
DENI068,10,9,4,,40,,0.3
DENI068,11,10,5,,23,,0.32
DENI068,12,11,5,,24,,0.34
DENI068,13,10,5,,25,,0.35
DENI068,14,6,3,,19,,0.34
DENI068,15,7,3,,26,,0.34
DENI068,16,10,4,,29,,0.34
DENI068,17,10,4,,31,,0.34
DENI068,18,6,2,,19,,0.34
DENI068,19,4,1,,16,,0.33
DENI068,20,6,2,,16,,0.33
DENI068,21,6,2,,10,,0.31
DENI068,22,5,2,,9,,0.31
DENI068,23,4,2,,7,,0.29
