station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,11,4,51,4,,
DENI042,1,10,4,46,4,,
DENI042,2,10,5,39,5,,
DENI042,3,11,5,34,5,,
DENI042,4,11,5,37,8,,
DENI042,5,11,5,34,11,,
DENI042,6,12,8,25,18,,
DENI042,7,13,9,26,23,,
DENI042,8,10,6,58,9,,
DENI042,9,11,6,61,7,,
DENI042,10,10,5,58,6,,
DENI042,11,6,3,68,4,,
DENI042,12,7,4,70,4,,
DENI042,13,7,4,73,5,,
DENI042,14,8,5,74,5,,
DENI042,15,9,5,80,4,,
DENI042,16,8,4,84,4,,
DENI042,17,7,3,90,3,,
DENI042,18,8,3,95,4,,
DENI042,19,9,3,89,6,,
DENI042,20,12,4,63,11,,
DENI042,21,13,3,51,9,,
DENI042,22,15,4,49,,,
DENI042,23,15,4,48,6,,
DENI068,0,10,6,,9,,0.36
DENI068,1,9,7,,19,,0.35
DENI068,2,10,8,,15,,0.34
DENI068,3,10,8,,14,,0.33
DENI068,4,10,8,,20,,0.31
DENI068,5,11,9,,29,,0.32
DENI068,6,15,11,,39,,0.33
DENI068,7,16,11,,39,,0.36
DENI068,8,14,8,,25,,0.37
DENI068,9,16,7,,27,,0.38
DENI068,10,17,6,,26,,0.39
DENI068,11,11,4,,18,,0.39
DENI068,12,13,4,,22,,0.39
DENI068,13,16,4,,25,,0.38
DENI068,14,19,5,,26,,0.35
DENI068,15,21,5,,27,,0.33
DENI068,16,21,4,,23,,0.32
DENI068,17,20,4,,25,,0.3
DENI068,18,20,3,,18,,0.28
DENI068,19,18,4,,27,,0.28
DENI068,20,17,4,,39,,0.29
DENI068,21,16,6,,32,,0.29
DENI068,22,12,5,,14,,0.28
DENI068,23,11,4,,12,,0.26
