station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,17,8,40,6,,
DENI042,1,17,8,,,,
DENI042,2,17,8,33,5,,
DENI042,3,17,8,27,5,,
DENI042,4,17,9,17,5,,
DENI042,5,17,9,11,6,,
DENI042,6,23,12,13,9,,
DENI042,7,25,14,18,14,,
DENI042,8,20,14,21,20,,
DENI042,9,14,12,44,22,,
DENI042,10,13,14,101,5,0.1,
DENI042,11,16,17,118,3,,
DENI042,12,17,17,132,4,0,
DENI042,13,18,17,128,3,,
DENI042,14,16,15,126,3,,
DENI042,15,16,12,117,3,,
DENI042,16,16,11,116,3,,
DENI042,17,17,11,115,3,,
DENI042,18,19,13,113,4,,
DENI042,19,20,13,112,5,,
DENI042,20,20,13,113,4,,
DENI042,21,20,13,93,8,,
DENI042,22,23,13,70,10,,
DENI042,23,23,13,66,7,,
DENI068,0,12,9,,19,,0.28
DENI068,1,13,13,,19,,0.29
DENI068,2,13,12,,23,,0.28
DENI068,3,12,10,,19,,0.26
DENI068,4,11,10,,11,,0.25
DENI068,5,11,11,,14,,0.24
DENI068,6,15,14,,21,,0.24
DENI068,7,14,16,,17,,0.24
DENI068,8,14,14,,14,,0.25
DENI068,9,16,13,,18,,0.27
DENI068,10,19,13,,17,,0.29
DENI068,11,25,17,,12,,0.3
DENI068,12,27,18,,14,,0.32
DENI068,13,27,17,,16,,0.34
DENI068,14,25,16,,16,,0.36
DENI068,15,23,12,,17,,0.36
DENI068,16,23,11,,24,,0.38
DENI068,17,24,12,,20,,0.37
DENI068,18,24,12,,13,,0.36
DENI068,19,24,12,,23,,0.37
DENI068,20,23,13,,23,,0.38
DENI068,21,23,13,,21,,0.38
DENI068,22,25,14,,19,,0.38
DENI068,23,25,14,,,,0.37
