station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,5,0.8,40,6,,
DENI042,1,4,0.8,41,5,,
DENI042,2,4,0.7,39,5,,
DENI042,3,3,0.5,40,5,,
DENI042,4,3,0.5,,,,
DENI042,5,3,0.5,38,6,,
DENI042,6,3,0.5,38,9,,
DENI042,7,3,0.5,37,11,,
DENI042,8,4,0.5,41,9,,
DENI042,9,9,2,48,7,,
DENI042,10,10,3,51,7,,
DENI042,14,4,1,40,8,,
DENI042,15,4,0.9,40,8,,
DENI042,16,3,0.8,39,8,,
DENI042,17,4,0.9,37,10,,
DENI042,18,5,1,38,11,,
DENI042,19,4,1,51,8,,
DENI042,20,5,1,49,8,,
DENI042,21,4,1,48,7,,
DENI042,22,4,0.9,51,6,,
DENI042,23,6,1,45,6,,
DENI068,0,5,1,,7,,0.43
DENI068,1,4,0.9,,6,,0.39
DENI068,2,22,6,,5,,0.36
DENI068,3,5,3,,5,,0.33
DENI068,4,3,0.6,,10,,0.3
DENI068,5,4,1,,19,,0.29
DENI068,6,5,1,,34,,0.29
DENI068,7,5,2,,34,,0.3
DENI068,8,5,1,,24,,0.33
DENI068,9,,,,,,0.36
DENI068,10,,,,,,0.36
DENI068,12,11,2,,18,,
DENI068,13,10,2,,18,,
DENI068,14,11,2,,21,,
DENI068,15,9,1,,22,,
DENI068,16,9,2,,22,,
DENI068,17,9,1,,30,,0.49
DENI068,18,8,2,,21,,0.49
DENI068,19,7,2,,19,,0.48
DENI068,20,6,1,,17,,0.5
DENI068,21,5,1,,17,,0.5
DENI068,22,4,1,,11,,0.49
DENI068,23,7,1,,10,,0.46
