id,network,name,state,lat,lon,elevation
01880,rr,Kyffhäuserland-Günserode,Thüringen,51.2978,11.0536,243
01885,rr,Harzgerode-Güntersberge,Sachsen-Anhalt,51.6463,10.981,420
01886,kl,Günzburg,Bayern,48.4878,10.2608,444
01888,rr,Gülzow-Prüzen-Parum,Mecklenburg-Vorpommern,53.8119,12.114,10
01891,rr,Rheda-Wiedenbrück-Lintel,Nordrhein-Westfalen,51.877,8.3577,73
01899,rr,Gundelsheim,Baden-Württemberg,49.2859,9.1662,170
01900,rr,Vilsheim-Münchsdorf,Bayern,48.4522,12.1549,450
01907,rr,Guxhagen-Albshausen,Hessen,51.2048,9.5137,279
01909,rr,"Haag, Kreis Mühldorf",Bayern,48.153,12.1704,530
01927,rr,Hahausen,Niedersachsen,51.9495,10.2138,207
01933,rr,Haidmühle-Bischofsreut,Bayern,48.8479,13.7271,1015
01937,rr,Haigerloch-Weildorf,Baden-Württemberg,48.3705,8.7666,525
01938,rr,Haimhausen-Ottershausen,Bayern,48.3028,11.5318,464
01945,rr,Börde-Hakel-Hakeborn,Sachsen-Anhalt,51.9147,11.3616,114
01948,rr,Malschwitz-Halbendorf/Spree,Sachsen,51.2975,14.5548,142
01949,rr,Halberstadt,Sachsen-Anhalt,51.9045,11.0629,111
01950,rr,Halblech-Trauchgau,Bayern,47.6463,10.8073,780
01954,rr,Halle-Döllnitz,Sachsen-Anhalt,51.4293,12.0145,105
01963,kl,Hallig Hooge,Schleswig-Holstein,54.5742,8.5133,4
01964,kl,Olsdorf,Rheinland-Pfalz,49.9445,6.3821,328
01975,kl,Hamburg-Fuhlsbüttel,Hamburg,53.6332,9.9881,11
01981,kl,Hamburg-Neuwiedenthal,Hamburg,53.4776,9.8957,4
01993,kl,Hameln,Niedersachsen,52.0848,9.3896,68
01997,rr,Hammelburg,Bayern,50.1219,9.9079,220
01999,rr,Hamminkeln (Mühlenrott),Nordrhein-Westfalen,51.7217,6.5839,23
02005,rr,Hankensbüttel,Niedersachsen,52.7199,10.5984,108
02011,rr,Hannover-Herrenhausen,Niedersachsen,52.3965,9.6629,50
02012,rr,Hannover-Kirchrode,Niedersachsen,52.3671,9.819,57
02014,kl,Hannover,Niedersachsen,52.4644,9.6779,55
02023,kl,Harburg,Bayern,48.7918,10.7062,501
02025,rr,Harschbach,Rheinland-Pfalz,50.5787,7.5964,306
02027,rr,Harsewinkel,Nordrhein-Westfalen,51.9753,8.2094,63
02037,rr,Hartmannsdorf-Reichenau,Sachsen,50.8323,13.5894,527
02039,kl,"Harzburg, Bad",Niedersachsen,51.9002,10.5699,203
02044,kl,Harzgerode,Sachsen-Anhalt,51.652,11.1366,404
02047,rr,Wriezen-Haselberg,Brandenburg,52.706,14.0308,110
02049,rr,Haselünne,Niedersachsen,52.6981,7.5153,24
02050,rr,Haslach im Kinzigtal,Baden-Württemberg,48.2766,8.0841,218
02051,rr,Hasloch/Main,Bayern,49.7845,9.4722,130
