station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,24,14,73,6,,
DENI042,1,23,16,70,7,,
DENI042,2,25,18,48,18,,
DENI042,3,27,19,42,18,,
DENI042,4,22,16,44,13,,
DENI042,5,18,14,35,17,,
DENI042,6,23,17,22,27,,
DENI042,7,23,15,43,28,,
DENI042,8,22,12,47,42,0.2,
DENI042,9,19,8,62,53,0.6,
DENI042,10,17,6,106,32,0.5,
DENI042,11,14,4,145,5,0.2,
DENI042,12,16,4,154,4,0.5,
DENI042,13,15,2,148,4,,
DENI042,14,14,,141,3,,
DENI042,15,17,0.7,148,3,0.4,
DENI042,16,21,2,151,3,0.7,
DENI042,17,26,4,157,3,1,
DENI042,18,30,8,152,5,1,
DENI042,19,37,12,135,7,0.4,
DENI042,20,36,14,119,9,,
DENI042,21,32,16,118,8,,
DENI042,22,26,13,,,,
DENI042,23,24,13,128,4,,
DENI068,0,41,23,,29,,0.38
DENI068,1,45,27,,26,,0.39
DENI068,2,35,17,,27,,0.38
DENI068,3,33,18,,22,,0.35
DENI068,4,31,17,,,,0.31
DENI068,5,33,15,,35,,0.3
DENI068,6,30,14,,52,,0.29
DENI068,7,25,13,,41,,0.3
DENI068,8,25,14,,45,,0.32
DENI068,9,24,13,,46,,0.33
DENI068,10,25,14,,58,,0.34
DENI068,11,24,13,,51,,0.33
DENI068,12,23,13,,51,,0.33
DENI068,13,20,12,,53,,0.32
DENI068,14,18,10,,43,,0.3
DENI068,15,20,11,,58,,0.28
DENI068,16,21,13,,43,,0.25
DENI068,17,24,17,,54,,0.24
DENI068,18,28,19,,47,,0.24
DENI068,19,29,21,,47,,0.25
DENI068,20,29,19,,42,,0.25
DENI068,21,31,22,,52,,0.26
DENI068,22,28,19,,36,,0.26
DENI068,23,26,19,,21,,0.26
