station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,10,7,21,11,,
DENI042,1,10,8,20,9,,
DENI042,2,9,7,16,8,,
DENI042,3,10,7,13,9,,
DENI042,4,10,8,9,9,0,
DENI042,5,13,10,6,18,,
DENI042,6,14,10,1,22,0.2,
DENI042,7,16,12,5,22,0,
DENI042,8,20,14,22,13,,
DENI042,9,18,13,27,11,0.2,
DENI042,10,12,8,42,8,0.9,
DENI042,11,7,4,57,5,0.2,
DENI042,12,3,2,68,4,0.2,
DENI042,13,2,1,75,4,,
DENI042,14,3,1,74,5,0.4,
DENI042,15,3,1,73,5,0.3,
DENI042,16,3,1,75,6,0.4,
DENI042,17,4,2,63,8,0.5,
DENI042,18,6,2,58,8,0.4,
DENI042,19,6,3,59,7,0.4,
DENI042,20,7,3,59,7,0.7,
DENI042,21,7,4,59,7,0.6,
DENI042,22,7,4,53,7,0.5,
DENI042,23,10,6,49,7,0.6,
DENI068,0,101,46,,13,,0.52
DENI068,1,23,15,,13,,0.48
DENI068,2,18,12,,,,0.47
DENI068,3,17,12,,12,,0.42
DENI068,4,18,12,,20,,0.39
DENI068,5,19,13,,33,,0.38
DENI068,6,22,13,,37,,0.39
DENI068,7,24,14,,36,,0.42
DENI068,8,28,16,,30,,0.39
DENI068,9,27,15,,27,,0.39
DENI068,10,20,11,,23,,0.38
DENI068,11,13,8,,25,,0.38
DENI068,12,9,5,,29,,0.38
DENI068,13,6,4,,26,,0.35
DENI068,14,7,4,,37,,0.33
DENI068,15,7,4,,39,,0.3
DENI068,16,6,3,,37,,0.29
DENI068,17,9,4,,46,,0.29
DENI068,18,11,5,,43,,0.29
DENI068,19,11,5,,45,,0.29
DENI068,20,11,5,,40,,0.29
DENI068,21,10,5,,30,,0.29
DENI068,22,11,5,,17,,0.28
DENI068,23,13,6,,11,,0.26
