station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,11,9,53,7,,
DENI042,1,10,10,50,7,,
DENI042,2,10,10,,,,
DENI042,3,10,9,47,6,,
DENI042,4,11,10,37,11,,
DENI042,5,11,10,24,24,,
DENI042,6,13,10,7,38,,
DENI042,7,14,11,16,35,,
DENI042,8,15,10,43,24,,
DENI042,9,12,6,65,13,,
DENI042,10,14,8,86,10,0.8,
DENI042,11,15,7,101,8,1,
DENI042,12,9,4,96,6,,
DENI042,13,12,4,104,8,,
DENI042,14,10,3,107,7,,
DENI042,15,11,3,105,8,,
DENI042,16,11,4,101,9,,
DENI042,17,11,5,96,11,,
DENI042,18,13,6,86,12,,
DENI042,19,15,8,77,16,,
DENI042,20,16,10,68,13,,
DENI042,21,15,11,79,7,,
DENI042,22,11,9,70,6,,
DENI042,23,12,10,68,5,,
DENI068,0,14,10,,21,,0.27
DENI068,1,14,11,,21,,0.27
DENI068,2,34,21,,18,,0.28
DENI068,3,13,11,,19,,0.28
DENI068,4,13,10,,25,,0.28
DENI068,5,14,11,,39,,0.3
DENI068,6,17,11,,47,,0.35
DENI068,7,20,11,,50,,0.39
DENI068,8,18,9,,43,,0.41
DENI068,9,19,9,,36,,0.43
DENI068,10,26,10,,37,,0.44
DENI068,11,23,10,,34,,0.44
DENI068,12,15,7,,27,,0.44
DENI068,13,16,7,,30,,0.43
DENI068,14,15,7,,31,,0.41
DENI068,15,16,8,,24,,0.38
DENI068,16,15,7,,46,,0.37
DENI068,17,14,7,,44,,0.36
DENI068,18,16,8,,46,,0.36
DENI068,19,17,10,,50,,0.37
DENI068,20,18,11,,30,,0.38
DENI068,21,16,10,,26,,0.4
DENI068,22,11,9,,,,0.41
DENI068,23,14,10,,15,,0.41
