station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,47,37,35,,0.8,
DENI042,1,28,25,50,12,0.1,
DENI042,2,19,18,59,7,0.2,
DENI042,3,19,18,,9,,
DENI042,4,25,24,43,11,,
DENI042,5,11,11,45,11,,
DENI042,6,10,10,49,8,,
DENI042,7,11,11,53,9,,
DENI042,8,11,11,53,7,,
DENI042,9,9,10,48,9,,
DENI042,10,6,7,45,11,,
DENI042,11,4,5,44,10,,
DENI042,12,3,3,44,9,,
DENI042,13,2,3,47,11,,
DENI042,14,6,4,66,8,,
DENI042,15,8,5,67,9,,
DENI042,16,9,5,67,8,,
DENI042,17,8,5,67,8,,
DENI042,18,9,5,74,5,,
DENI042,19,8,5,75,4,,
DENI042,20,7,4,74,5,,
DENI042,21,10,5,73,4,,
DENI042,22,9,5,74,4,,
DENI042,23,7,4,77,3,,
DENI068,0,99,85,,,,
DENI068,1,48,38,,,,
DENI068,2,29,23,,,,
DENI068,3,27,22,,,,
DENI068,4,33,29,,,,
DENI068,5,17,14,,,,
DENI068,6,13,11,,,,
DENI068,7,14,12,,,,
DENI068,8,15,13,,,,
DENI068,9,13,10,,,,
DENI068,10,8,7,,,,
DENI068,11,6,4,,,,
DENI068,12,4,3,,,,
DENI068,13,4,2,,,,
DENI068,14,7,3,,,,
DENI068,15,11,4,,,,
DENI068,16,12,5,,,,
DENI068,17,12,4,,,,
DENI068,18,11,4,,,,
DENI068,19,10,4,,,,
DENI068,20,11,4,,,,
DENI068,21,12,4,,,,
DENI068,22,12,4,,,,
DENI068,23,10,3,,,,
