station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,13,7,55,10,,
DENI042,1,16,11,49,14,,
DENI042,2,17,11,45,15,,
DENI042,3,17,12,43,11,,
DENI042,4,19,13,,,,
DENI042,5,22,14,52,11,,
DENI042,6,23,15,37,22,,
DENI042,7,23,15,38,29,,
DENI042,8,24,16,47,24,,
DENI042,9,22,14,60,13,,
DENI042,10,19,12,67,12,,
DENI042,11,15,9,74,9,,
DENI042,12,11,6,83,8,,
DENI042,13,9,4,87,8,,
DENI042,14,8,4,86,8,,
DENI042,15,8,4,85,9,,
DENI042,16,9,4,80,13,,
DENI042,17,10,5,78,13,,
DENI042,18,12,7,67,20,,
DENI042,19,12,7,66,18,,
DENI042,20,11,6,69,16,,
DENI042,21,11,6,70,14,,
DENI042,22,11,7,68,15,,
DENI042,23,11,7,67,16,,
DENI068,0,14,9,,30,,0.15
DENI068,1,15,10,,35,,0.15
DENI068,2,16,11,,23,,0.17
DENI068,3,16,11,,,,0.17
DENI068,4,19,13,,37,,0.18
DENI068,5,21,16,,31,,0.19
DENI068,6,23,17,,51,,0.21
DENI068,7,36,20,,69,,0.25
DENI068,8,36,20,,50,,0.28
DENI068,9,29,18,,38,,0.29
DENI068,10,27,16,,31,,0.28
DENI068,11,21,12,,24,,0.29
DENI068,12,14,7,,19,,0.27
DENI068,13,10,5,,21,,0.26
DENI068,14,11,5,,23,,0.24
DENI068,15,10,5,,23,,0.2
DENI068,16,12,7,,27,,0.17
DENI068,17,12,7,,34,,0.16
DENI068,18,16,11,,39,,0.17
DENI068,19,16,11,,34,,0.18
DENI068,20,15,10,,37,,0.19
DENI068,21,15,10,,50,,0.21
DENI068,22,15,10,,32,,0.23
DENI068,23,14,10,,29,,0.23
