date,stations,meanHiStation,meanHi,meanLoStation,meanLo,absHiStation,absHi,absLoStation,absLo,lowHiStation,lowHi,lowLoStation,lowLo,lowAbsHiStation,lowAbsHi,lowAbsLoStation,lowAbsLo,wetStation,wet,gustStation,gust,lapse,lapseR2,gradN,gradE,gradH,gradR2
1918-01-01,58,03631,1.4,03730,-12.2,03631,3.4,04125,-16.2,03631,1.4,03730,-12.2,03631,3.4,04125,-16.2,00722,1,,,-0.265,0.233,0.314,-0.876,-0.159,0.483
1918-01-02,58,03631,1.8,05792,-14.1,03631,4.5,03730,-19,03631,1.8,03730,-8.6,03631,4.5,03730,-19,00863,12,,,-0.533,0.767,0.138,-0.706,-0.48,0.889
1918-01-03,58,03631,0.7,05792,-24.2,03631,1.8,05792,-27.3,03631,0.7,03730,-11.4,03631,1.8,03730,-18.2,00722,6.1,,,-0.699,0.807,0.37,-0.576,-0.585,0.878
1918-01-04,58,03631,4.1,05792,-21.4,03631,4.5,05792,-27.3,03631,4.1,03730,-16.1,03631,4.5,03730,-24.1,00722,25.1,,,-0.815,0.708,1.088,-0.279,-0.511,0.894
1918-01-05,58,05732,3.2,03730,-12,03631,4.4,03730,-19,05732,3.2,03730,-12,03631,4.4,03730,-19,00722,7,,,-0.592,0.638,0.829,0.153,-0.369,0.84
1918-01-06,58,05732,2,03730,-7.9,05732,3.4,03730,-18.9,05732,2,03730,-7.9,05732,3.4,03730,-18.9,03404,8.2,,,-0.39,0.574,0.359,0.102,-0.295,0.656
1918-01-07,58,02522,6.4,05792,-7.1,03730,9,03730,-9,02522,6.4,00098,-2.5,03730,9,03730,-9,02522,37.2,,,-0.239,0.235,-0.977,0.32,-0.514,0.82
1918-01-08,58,03631,-0.3,05792,-16.5,03730,8,05792,-21.6,03631,-0.3,00098,-8.1,03730,8,00098,-9.3,03730,17.6,,,-0.496,0.806,-0.346,0.246,-0.596,0.873
1918-01-09,58,03631,-2.4,05792,-25.4,03383,3.8,05792,-26.5,03631,-2.4,02290,-11.8,03383,3.8,03730,-19.2,00863,13.3,,,-0.66,0.791,-0.019,-0.76,-0.648,0.889
1918-01-10,58,05575,4,05792,-17,01762,5.6,05792,-25.4,05575,4,02290,-4.5,01762,5.6,02290,-14.8,01006,26.9,,,-0.595,0.761,-0.289,-0.72,-0.658,0.908
1918-01-11,58,04125,3.1,05792,-16.3,02444,4.6,05792,-17.5,04125,3.1,00098,-5.1,02444,4.6,00098,-7.4,00863,20.3,,,-0.514,0.672,-0.808,-0.147,-0.732,0.94
1918-01-12,58,02444,2.4,05792,-10.2,02444,4.5,05792,-16,02444,2.4,00098,-3.4,02444,4.5,03730,-12,04024,18.8,,,-0.325,0.422,-0.692,-0.312,-0.508,0.781
1918-01-13,58,04125,1.5,05792,-10.3,04125,5.9,05792,-12.2,04125,1.5,00098,-4.8,04125,5.9,02578,-7.5,03730,13.3,,,-0.288,0.32,-0.88,-0.215,-0.524,0.815
1918-01-14,58,02486,0.2,05792,-15.4,02522,2.4,05792,-18.5,02486,0.2,00098,-7.6,02522,2.4,03730,-11.2,03987,4.4,,,-0.436,0.574,-0.714,-0.229,-0.626,0.84
1918-01-15,58,05099,7.2,05792,-5.6,05498,11.3,05792,-14.7,05099,7.2,04024,-1.6,05498,11.3,03730,-11.8,00863,40.3,,,-0.204,0.133,-1.152,-0.393,-0.51,0.878
1918-01-16,58,02522,7.8,05792,-5.6,02522,14.1,05349,-9.2,02522,7.8,03537,-1.7,02522,14.1,05349,-9.2,01891,31.4,,,-0.089,0.015,-1.699,-0.069,-0.552,0.852
1918-01-17,58,02522,6.3,05792,-6.6,02522,10.8,01358,-9.5,02522,6.3,00863,-2.6,02522,10.8,05349,-8.8,01425,16.1,,,-0.169,0.09,-1.106,-0.165,-0.468,0.706
1918-01-18,58,03383,9.7,05792,-4.6,02522,13,00722,-6.5,03383,9.7,04024,-0.6,02522,13,01006,-6.3,03537,10.7,,,-0.175,0.079,-1.238,-0.527,-0.502,0.811
1918-01-19,58,02522,10.6,05792,-5.6,02522,14.4,05792,-7.1,02522,10.6,05732,-0.3,02522,14.4,05732,-1.5,01972,9.1,,,-0.182,0.06,-1.541,0.065,-0.605,0.707
1918-01-20,58,00186,11.4,05792,-2.7,00186,14,05792,-5.5,00186,11.4,05498,1.4,00186,14,04270,-1.1,03631,1.4,,,-0.207,0.156,-0.472,-0.498,-0.325,0.393
1918-01-21,58,00186,9.2,05792,-4.2,05099,14.2,05792,-6.2,00186,9.2,05498,0.5,05099,14.2,05498,-1.8,05732,1.6,,,-0.202,0.151,0.042,-0.895,-0.17,0.42
1918-01-22,58,05099,10.6,05792,-4,05099,13.3,05792,-7.1,05099,10.6,00164,0.4,05099,13.3,05498,-3.2,00863,5.4,,,-0.14,0.067,-0.491,-0.756,-0.257,0.42
1918-01-23,58,03404,9.8,05792,-6.6,04125,12.9,05792,-7.3,03404,9.8,00164,2.5,04125,12.9,00164,-0.4,00863,9,,,-0.36,0.38,-0.744,-0.628,-0.55,0.784
1918-01-24,58,02444,9.7,05792,-7.1,02444,13.1,05792,-9.9,02444,9.7,03730,2.7,02444,13.1,03730,-1,00863,14.3,,,-0.435,0.565,-0.531,-0.227,-0.575,0.72
1918-01-25,58,01960,9.4,05792,-3,00186,15,05792,-5.7,01960,9.4,03730,0.4,00186,15,03730,-3.4,00880,3,,,-0.261,0.311,0.05,0.241,-0.253,0.339
1918-01-26,58,00880,6.9,05792,-2,01691,12.6,05792,-3.4,00880,6.9,02522,0.1,01691,12.6,03730,-3.2,02374,0.8,,,-0.099,0.068,0.232,0.397,-0.044,0.25
