date,stations,meanHiStation,meanHi,meanLoStation,meanLo,absHiStation,absHi,absLoStation,absLo,lowHiStation,lowHi,lowLoStation,lowLo,lowAbsHiStation,lowAbsHi,lowAbsLoStation,lowAbsLo,wetStation,wet,gustStation,gust,lapse,lapseR2,gradN,gradE,gradH,gradR2
1877-01-01,14,02522,11.1,02374,6.8,02522,16.5,05498,1,02522,11.1,02374,6.8,02522,16.5,05498,1,01691,5.9,,,,,,,,
1877-01-02,14,02522,8.9,02374,0.8,05498,14,04024,0,02522,8.9,02374,0.8,05498,14,04024,0,02928,6.1,,,,,,,,
1877-01-03,14,00919,7,04024,-0.8,00919,11.5,04024,-1.6,00919,7,04024,-0.8,00919,11.5,04024,-1.6,04024,2.7,,,,,,,,
1877-01-04,14,13923,8,04024,1,13923,11.3,05498,-0.8,13923,8,04024,1,13923,11.3,05498,-0.8,02578,4.3,,,,,,,,
1877-01-05,14,02522,7.4,04024,4.1,05498,11,04024,1.5,02522,7.4,04024,4.1,05498,11,04024,1.5,02928,2.6,,,,,,,,
1877-01-06,14,01425,6.7,04024,3.2,02522,11,13923,0.8,01425,6.7,04024,3.2,02522,11,13923,0.8,05498,0.8,,,,,,,,
1877-01-07,14,00919,9.4,04024,1.7,00919,13,05498,-1.5,00919,9.4,04024,1.7,00919,13,05498,-1.5,04024,4.1,,,,,,,,
1877-01-08,14,00919,11.7,04024,4,00919,13.6,04024,0.3,00919,11.7,04024,4,00919,13.6,04024,0.3,02578,9.2,,,,,,,,
1877-01-09,14,05498,13.2,02374,5.7,02522,17.5,05498,2.4,05498,13.2,02374,5.7,02522,17.5,05498,2.4,01425,6.6,,,,,,,,
1877-01-10,14,02290,8.2,02374,0.7,02522,13,04024,-0.8,02290,8.2,02374,0.7,02522,13,04024,-0.8,01425,15,,,,,,,,
1877-01-11,14,02522,9.4,04024,-0.6,02522,12.2,04024,-1.3,02522,9.4,04024,-0.6,02522,12.2,04024,-1.3,02928,5,,,,,,,,
1877-01-12,14,13923,6.3,04024,-1,02522,10,04024,-1.3,13923,6.3,04024,-1,02522,10,04024,-1.3,02522,15,,,,,,,,
1877-01-13,14,02522,3.8,04024,-0.9,02522,6,00402,-1.3,02522,3.8,04024,-0.9,02522,6,00402,-1.3,04024,4.8,,,,,,,,
1877-01-14,14,13923,2.6,04024,-1,13923,5.5,05498,-2,13923,2.6,04024,-1,13923,5.5,05498,-2,02522,2.7,,,,,,,,
1877-01-15,14,02522,4,02290,-0.2,02522,7,13923,-2.1,02522,4,02290,-0.2,02522,7,13923,-2.1,13923,4.8,,,,,,,,
1877-01-16,14,00402,4.6,02290,-3,00402,6.5,00919,-0.8,00402,4.6,02290,-3,00402,6.5,00919,-0.8,00402,0,,,,,,,,
1877-01-17,14,00402,2.5,02290,-3.6,13923,4.8,02522,-5.4,00402,2.5,02290,-3.6,13923,4.8,02522,-5.4,00402,0,,,,,,,,
1877-01-18,14,01425,1.8,13923,-2.7,00919,3.1,13923,-7.2,01425,1.8,13923,-2.7,00919,3.1,13923,-7.2,13923,2.9,,,,,,,,
