date,stations,meanHiStation,meanHi,meanLoStation,meanLo,absHiStation,absHi,absLoStation,absLo,lowHiStation,lowHi,lowLoStation,lowLo,lowAbsHiStation,lowAbsHi,lowAbsLoStation,lowAbsLo,wetStation,wet,gustStation,gust,lapse,lapseR2,gradN,gradE,gradH,gradR2
1895-01-01,48,02522,0.2,01358,-7.5,04104,4.9,04748,-10.1,02522,0.2,04748,-6.8,04104,4.9,04748,-10.1,04024,6.5,,,-0.437,0.462,-0.292,-0.046,-0.563,0.544
1895-01-02,48,05732,-0.2,01358,-10.7,04104,3.5,01526,-13,05732,-0.2,00863,-8.3,04104,3.5,01526,-13,00003,5.2,,,-0.613,0.52,-0.063,-0.007,-0.641,0.522
1895-01-03,48,00003,0.1,01358,-12,04024,1.3,02444,-15.7,00003,0.1,02444,-9.8,04024,1.3,02444,-15.7,01960,12,,,-0.688,0.456,0.111,-0.254,-0.621,0.477
1895-01-04,48,05732,0.5,01358,-10.1,02578,1.5,00284,-13.6,05732,0.5,02290,-8.9,02578,1.5,00284,-13.6,05440,42.5,,,-0.792,0.777,0.281,-0.563,-0.626,0.918
1895-01-05,48,05732,-1.6,01358,-11.5,05732,1.1,01358,-13.4,05732,-1.6,00098,-9.1,05732,1.1,00863,-10.3,05440,30.2,,,-0.51,0.475,-0.108,-0.445,-0.526,0.601
1895-01-06,48,04024,0.5,01358,-12.6,04024,1.3,01358,-15.2,04024,0.5,00098,-11.3,04024,1.3,02290,-12.2,05349,19.8,,,-0.93,0.613,0.734,0.374,-0.633,0.801
1895-01-07,48,03537,-0.5,00231,-14.1,04024,1.4,00320,-17.1,03537,-0.5,00231,-14.1,04024,1.4,00320,-17.1,00863,15.5,,,-1.088,0.51,1.444,-0.554,-0.407,0.86
1895-01-08,48,02578,-0.9,05440,-17.4,02578,0.5,05440,-21.4,02578,-0.9,05440,-17.4,02578,0.5,05440,-21.4,02522,7.5,,,-1.03,0.405,1.588,-0.987,-0.254,0.832
1895-01-09,48,03088,-0.8,02290,-13.7,00863,4.9,05440,-19.9,03088,-0.8,02290,-13.7,00863,4.9,05440,-19.9,01960,11.1,,,-0.946,0.63,0.49,-0.928,-0.661,0.853
1895-01-10,48,04024,0,01358,-13.1,04024,1.4,01358,-13.9,04024,0,02290,-10.4,04024,1.4,02290,-13.1,00661,14.4,,,-0.886,0.773,0.246,-0.443,-0.745,0.845
1895-01-11,48,02374,1,01358,-10.3,02374,1.6,01358,-13.7,02374,1,02290,-10.2,02374,1.6,02290,-11.2,01684,9.4,,,-0.979,0.793,0.684,-0.011,-0.675,0.937
1895-01-12,48,05732,-0.7,02290,-12.3,02374,2.3,02290,-13.1,05732,-0.7,02290,-12.3,02374,2.3,02290,-13.1,15526,7.8,,,-0.731,0.618,0.649,-0.084,-0.437,0.798
1895-01-13,48,00003,1.5,01684,-10,02290,6,02444,-17.5,00003,1.5,01684,-10,02290,6,02444,-17.5,03088,14.5,,,-0.256,0.088,0.488,-0.815,0.02,0.436
1895-01-14,48,00003,3.4,04748,-5.3,00186,4.8,01684,-10.6,00003,3.4,04748,-5.3,00186,4.8,01684,-10.6,02522,26.1,,,0.019,0.001,-0.366,-0.577,-0.101,0.38
1895-01-15,48,00853,4.2,04748,-2.8,00231,8.1,04748,-10,00853,4.2,04748,-2.8,00231,8.1,04748,-10,05707,12.2,,,0.135,0.038,-0.476,-0.087,-0.07,0.225
1895-01-16,48,00003,4.7,01358,-0.4,02290,12.2,05349,-4,00003,4.7,02578,-0.1,02290,12.2,05349,-4,03088,10.8,,,-0.012,0,-0.755,0.116,-0.355,0.675
1895-01-17,48,00186,5.1,01358,-1.4,02444,10.1,05498,-3.5,00186,5.1,05498,-1.3,02444,10.1,05498,-3.5,00186,4.4,,,-0.175,0.098,-0.119,-0.093,-0.221,0.126
1895-01-18,48,00003,4.6,01358,-3.8,02444,7.7,01358,-4.5,00003,4.6,00098,-1.4,02444,7.7,00098,-2.7,01425,2.2,,,-0.35,0.395,-0.417,-0.069,-0.53,0.617
1895-01-19,48,00003,5,01358,-4.4,02444,7.6,01358,-6.1,00003,5,00320,-2.5,02444,7.6,02928,-4.9,15526,8.7,,,-0.372,0.29,0.01,-0.613,-0.323,0.53
1895-01-20,48,00003,8.2,01358,-1.9,00003,9.5,01358,-4.8,00003,8.2,04104,-1.1,00003,9.5,04104,-4,00003,21.7,,,-0.044,0.003,-0.59,-0.665,-0.257,0.461
