date,stations,meanHiStation,meanHi,meanLoStation,meanLo,absHiStation,absHi,absLoStation,absLo,lowHiStation,lowHi,lowLoStation,lowLo,lowAbsHiStation,lowAbsHi,lowAbsLoStation,lowAbsLo,wetStation,wet,gustStation,gust,lapse,lapseR2,gradN,gradE,gradH,gradR2
1893-01-01,50,02578,-5.8,01358,-16.8,02522,-2.6,05440,-19.9,02578,-5.8,05440,-15.4,02522,-2.6,05440,-19.9,04024,13,,,-0.859,0.54,0.832,-0.201,-0.468,0.73
1893-01-02,50,15964,-5.4,01358,-17.2,15964,-3.8,05440,-22.9,15964,-5.4,05440,-17.1,15964,-3.8,05440,-22.9,03126,6.4,,,-0.633,0.371,0.341,-1.115,-0.386,0.743
1893-01-03,50,00003,-5.2,00661,-16.6,00003,-2.4,19631,-20.5,00003,-5.2,00661,-16.6,00003,-2.4,19631,-20.5,01047,8.6,,,-0.214,0.048,-0.314,-0.212,-0.337,0.106
1893-01-04,50,04024,-3,01358,-13.3,04024,-0.6,01691,-18.8,04024,-3,02290,-12.7,04024,-0.6,01691,-18.8,00880,7.7,,,-0.579,0.358,0.33,0.679,-0.487,0.57
1893-01-05,50,02374,-3.3,01358,-11.5,03790,-1.3,15964,-16.9,02374,-3.3,02290,-11.2,03790,-1.3,15964,-16.9,02444,4.3,,,-0.625,0.532,0.653,-0.21,-0.314,0.754
1893-01-06,50,01425,-3.6,00880,-15,03404,-1.5,05349,-18,01425,-3.6,00880,-15,03404,-1.5,05349,-18,02444,0.8,,,-0.091,0.006,-0.383,-1.622,-0.129,0.609
1893-01-07,50,15964,-2.2,05349,-15.5,00186,1.6,03987,-17.8,15964,-2.2,05349,-15.5,00186,1.6,03987,-17.8,00691,0.1,,,0.416,0.072,-0.584,-1.902,0.312,0.621
1893-01-08,50,00003,-0.1,04748,-14.6,00186,2.5,05349,-19.5,00003,-0.1,04748,-14.6,00186,2.5,05349,-19.5,02522,3.5,,,0.289,0.037,-0.045,-1.582,0.401,0.386
1893-01-09,50,00003,2.6,04024,-8.5,02290,5,00231,-15.2,00003,2.6,04024,-8.5,02290,5,00231,-15.2,02290,11,,,0.195,0.028,-0.433,-1.118,0.093,0.392
1893-01-10,50,03383,-1.3,01358,-10.1,02290,3,01358,-14.1,03383,-1.3,00098,-9.6,02290,3,00863,-11.8,01358,11.3,,,-0.253,0.145,-0.585,0.014,-0.518,0.431
