date,stations,meanHiStation,meanHi,meanLoStation,meanLo,absHiStation,absHi,absLoStation,absLo,lowHiStation,lowHi,lowLoStation,lowLo,lowAbsHiStation,lowAbsHi,lowAbsLoStation,lowAbsLo,wetStation,wet,gustStation,gust,lapse,lapseR2,gradN,gradE,gradH,gradR2
1852-01-01,6,02290,0.8,01425,-6.8,01047,1.2,01425,-8.8,02290,0.8,01425,-6.8,01047,1.2,01425,-8.8,01047,0,,,,,,,,
1852-01-02,6,01047,1.4,01425,-4.7,01047,3,01425,-7.8,01047,1.4,01425,-4.7,01047,3,01425,-7.8,01960,0.1,,,,,,,,
1852-01-03,6,01047,2.4,01425,-2.2,01047,5.2,01425,-6.4,01047,2.4,01425,-2.2,01047,5.2,01425,-6.4,01047,0.2,,,,,,,,
1852-01-04,6,01047,3.9,02290,0.2,01047,6.4,02444,-2.4,01047,3.9,02290,0.2,01047,6.4,02444,-2.4,01960,1.9,,,,,,,,
1852-01-05,6,01047,2.4,02290,-4.8,01047,4.1,01425,-2.5,01047,2.4,02290,-4.8,01047,4.1,01425,-2.5,02444,0.6,,,,,,,,
1852-01-06,6,02444,1.8,01425,-2.3,02444,4.9,01425,-4,02444,1.8,01425,-2.3,02444,4.9,01425,-4,01047,0,,,,,,,,
1852-01-07,6,02444,4.3,01425,-0.1,02444,6.4,01425,-6.8,02444,4.3,01425,-0.1,02444,6.4,01425,-6.8,01047,0,,,,,,,,
1852-01-08,6,01047,4.1,01425,2.3,01047,7.4,01047,1.3,01047,4.1,01425,2.3,01047,7.4,01047,1.3,01047,0,,,,,,,,
1852-01-09,6,02444,3.1,01047,-1,02444,6.3,01047,-1.3,02444,3.1,01047,-1,02444,6.3,01047,-1.3,01047,0,,,,,,,,
1852-01-10,6,01047,2.1,02290,-3,01047,3.5,01047,-1,01047,2.1,02290,-3,01047,3.5,01047,-1,01047,1,,,,,,,,
1852-01-11,6,02290,3.2,01960,1.1,02444,4.5,02444,-3.5,02290,3.2,01960,1.1,02444,4.5,02444,-3.5,01047,0.9,,,,,,,,
1852-01-12,6,01047,9.8,02928,5.9,01047,11.5,01047,3.3,01047,9.8,02928,5.9,01047,11.5,01047,3.3,01960,0.6,,,,,,,,
1852-01-13,6,01047,12.4,02928,8.6,01047,14.5,01425,6.8,01047,12.4,02928,8.6,01047,14.5,01425,6.8,01047,2.5,,,,,,,,
1852-01-14,6,01047,9.5,02290,5.6,01047,12.6,01425,6.8,01047,9.5,02290,5.6,01047,12.6,01425,6.8,01960,10.7,,,,,,,,
1852-01-15,6,01425,8.6,02290,4.2,01047,10.5,02444,6.1,01425,8.6,02290,4.2,01047,10.5,02444,6.1,01047,12.8,,,,,,,,
1852-01-16,6,01047,10.5,02290,7.5,01047,14.3,01425,6.5,01047,10.5,02290,7.5,01047,14.3,01425,6.5,01960,7.8,,,,,,,,
1852-01-17,6,01425,6.4,02928,4.2,01047,9.8,02444,3.4,01425,6.4,02928,4.2,01047,9.8,02444,3.4,02444,5.3,,,,,,,,
1852-01-18,6,01047,5.4,02290,-1.2,01425,6.3,02444,4,01047,5.4,02290,-1.2,01425,6.3,02444,4,02444,3.4,,,,,,,,
1852-01-19,6,01047,4.5,02290,0,01425,6.6,01425,0,01047,4.5,02290,0,01425,6.6,01425,0,02444,0.7,,,,,,,,
