date,stations,meanHiStation,meanHi,meanLoStation,meanLo,absHiStation,absHi,absLoStation,absLo,lowHiStation,lowHi,lowLoStation,lowLo,lowAbsHiStation,lowAbsHi,lowAbsLoStation,lowAbsLo,wetStation,wet,gustStation,gust,lapse,lapseR2,gradN,gradE,gradH,gradR2
1802-01-01,1,02290,-9.3,02290,-9.3,,,,,02290,-9.3,02290,-9.3,,,,,,,,,,,,,,
1802-01-02,1,02290,-12.8,02290,-12.8,,,,,02290,-12.8,02290,-12.8,,,,,,,,,,,,,,
1802-01-03,1,02290,-11,02290,-11,,,,,02290,-11,02290,-11,,,,,,,,,,,,,,
1802-01-04,1,02290,-10.7,02290,-10.7,,,,,02290,-10.7,02290,-10.7,,,,,,,,,,,,,,
1802-01-05,1,02290,-7.4,02290,-7.4,,,,,02290,-7.4,02290,-7.4,,,,,,,,,,,,,,
1802-01-06,1,02290,-1.6,02290,-1.6,,,,,02290,-1.6,02290,-1.6,,,,,,,,,,,,,,
1802-01-07,1,02290,-1.2,02290,-1.2,,,,,02290,-1.2,02290,-1.2,,,,,,,,,,,,,,
1802-01-08,1,02290,-0.5,02290,-0.5,,,,,02290,-0.5,02290,-0.5,,,,,,,,,,,,,,
1802-01-09,1,02290,-4.4,02290,-4.4,,,,,02290,-4.4,02290,-4.4,,,,,,,,,,,,,,
1802-01-10,1,02290,-4.4,02290,-4.4,,,,,02290,-4.4,02290,-4.4,,,,,,,,,,,,,,
1802-01-11,1,02290,-6.4,02290,-6.4,,,,,02290,-6.4,02290,-6.4,,,,,,,,,,,,,,
1802-01-12,1,02290,-10.7,02290,-10.7,,,,,02290,-10.7,02290,-10.7,,,,,,,,,,,,,,
1802-01-13,1,02290,-10.5,02290,-10.5,,,,,02290,-10.5,02290,-10.5,,,,,,,,,,,,,,
1802-01-14,1,02290,-11,02290,-11,,,,,02290,-11,02290,-11,,,,,,,,,,,,,,
1802-01-15,1,02290,-15,02290,-15,,,,,02290,-15,02290,-15,,,,,,,,,,,,,,
1802-01-16,1,02290,-18.2,02290,-18.2,,,,,02290,-18.2,02290,-18.2,,,,,,,,,,,,,,
1802-01-17,1,02290,-11.2,02290,-11.2,,,,,02290,-11.2,02290,-11.2,,,,,,,,,,,,,,
1802-01-18,1,02290,-5.8,02290,-5.8,,,,,02290,-5.8,02290,-5.8,,,,,,,,,,,,,,
1802-01-19,1,02290,-5.7,02290,-5.7,,,,,02290,-5.7,02290,-5.7,,,,,,,,,,,,,,
1802-01-20,1,02290,-3.1,02290,-3.1,,,,,02290,-3.1,02290,-3.1,,,,,,,,,,,,,,
1802-01-21,1,02290,-0.8,02290,-0.8,,,,,02290,-0.8,02290,-0.8,,,,,,,,,,,,,,
1802-01-22,1,02290,-4.6,02290,-4.6,,,,,02290,-4.6,02290,-4.6,,,,,,,,,,,,,,
1802-01-23,1,02290,-8,02290,-8,,,,,02290,-8,02290,-8,,,,,,,,,,,,,,
1802-01-24,1,02290,-4.7,02290,-4.7,,,,,02290,-4.7,02290,-4.7,,,,,,,,,,,,,,
