station,temp_mean,temp_max,temp_min,precipitation,wind_max,wind_mean,sunshine,cloud,pressure,humidity,snow
00589,,,,0,,,,,,,
00591,16.9,21.9,12.9,0,8.1,2.8,,6,1011.53,77.54,0
00595,,,,0,,,,,,,0
00596,18,23.1,13.2,0,,,9.2,,,,0
00603,20,25.5,14,0,6.6,2.1,,2,1001.04,69.96,0
00604,,,,0,,,,,,,
00606,,,,0,,,,,,,0
00608,,,,0,,,,,,,0
00610,,,,0,,,,,,,0
00611,,,,0,,,,,,,0
00613,,,,0,,,,,,,
00617,19.2,25.3,13.2,0,,,,,,75.5,
00619,,,,,8,3.2,,,,,
00622,,,,0,,,,,,,
00624,,,,0,,,,,,,0
00628,,,,0,,,,,,,0
00630,,,,0,,,,,,,
00633,,,,0,,,,,,,
00642,,,,,10.5,4.1,,,,,
00644,,,,0,,,,,,,
00645,,,,0,,,,,,,0
00647,,,,0,,,,,,,0
00653,,,,0,,,,,,,
00654,,,,0,,,,,,,0
00656,13.7,16.8,11,0,13.2,3.7,,3.9,947.44,81.67,0
00662,16.9,22.4,12.2,0,7.4,2.9,3.783,4.3,1008.11,76.13,0
00668,,,,0,,,,,,,0
00672,,,,0,,,,,,,0
00677,,,,0,,,,,,,
00684,,,,0,,,,,,,
00690,,,,0,,,,,,,0
00691,18.2,23.3,11.9,0,10.6,4.7,5.533,6.9,1017.67,75.79,0
00701,17.8,19.2,16.6,0,11.5,7.5,2.767,7.6,1017.65,80.83,0
00704,17.6,20.8,13.5,0,8.5,3.2,,7.7,1016.61,79.5,0
00708,,,,0,,,,,,,0
00710,,,,0,,,,,,,0
00714,,,,0,,,,,,,
00721,,,,0,,,,,,,
00722,9.6,11.5,6,0.6,16.1,9.5,,7.4,887.62,96.79,0
00723,,,,0,,,,,,,
00731,,,,0,,,,,,,
00732,,,,0,,,,,,,
00734,,,,0,,,,,,,0
00735,,,,0,,,,,,,
00741,,,,0,,,,,,,0
00745,,,,0,,,,,,,0
00747,,,,0,,,,,,,0
00752,,,,0,,,,,,,0
00753,,,,0,,,,,,,
00755,20,28,10.9,0,,,,,,63.88,
00756,,,,0,,,,,,,0
00757,22.6,29.9,14.5,0,,,,,,57.5,
00759,,,,0,,,,,,,0
00760,17,21,12.2,0,,,,,,78.04,
00766,20.2,,,0,,,,,961.8,62.75,0
00769,18.2,,,0,,,,5.3,1009.22,71.04,0
00774,,,,0,,,,,,,0
00775,,,,0.5,,,,,,,
00788,,,,,11.9,7.8,,,,,
00789,,,,0,,,,,,,
00791,,,,0,,,,,,,
00796,,,,0,,,,,,,
00797,,,,0,,,,,,,
00801,,,,0,,,,,,,
00803,,,,0,,,,,,,0
00807,,,,0,,,,,,,
00808,,,,0,,,,,,,
00811,,,,0,,,,,,,0
00812,,,,0,,,,,,,
00814,,,,0,,,,,,,
00815,,,,0,,,,,,,
00816,,,,0,,,,,,,0
