station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,8,6,66,7,,
DENI042,1,6,4,73,5,,
DENI042,2,6,4,,5,0.2,
DENI042,3,5,3,76,,0.2,
DENI042,4,4,3,72,5,,
DENI042,5,4,3,63,8,,
DENI042,6,3,2,57,12,,
DENI042,7,2,1,61,11,,
DENI042,8,4,2,73,11,,
DENI042,9,4,2,79,8,,
DENI042,10,5,3,82,7,,
DENI042,11,5,3,84,7,,
DENI042,12,6,3,86,5,0.1,
DENI042,13,5,3,81,7,,
DENI042,14,3,2,78,8,,
DENI042,15,3,2,78,6,,
DENI042,16,4,2,74,6,,
DENI042,17,6,3,70,6,,
DENI042,18,6,3,64,8,,
DENI042,19,6,3,61,9,,
DENI042,20,6,3,61,9,,
DENI042,21,6,3,61,7,,
DENI042,22,6,4,61,7,,
DENI042,23,7,4,61,6,,
DENI068,0,9,6,,8,,0.22
DENI068,1,7,4,,6,,0.21
DENI068,2,6,4,,,,0.2
DENI068,3,5,3,,6,,0.19
DENI068,4,4,3,,9,,0.18
DENI068,5,5,3,,17,,0.18
DENI068,6,5,3,,27,,0.19
DENI068,7,4,2,,24,,0.2
DENI068,8,6,3,,22,,0.2
DENI068,9,4,2,,17,,0.2
DENI068,10,6,3,,18,,0.2
DENI068,11,6,3,,19,,0.2
DENI068,12,7,3,,13,,0.2
DENI068,13,6,3,,15,,0.2
DENI068,14,5,2,,24,,0.19
DENI068,15,4,2,,20,,0.19
DENI068,16,5,2,,22,,0.19
DENI068,17,6,3,,18,,0.2
DENI068,18,8,4,,20,,0.2
DENI068,19,8,4,,17,,0.2
DENI068,20,11,5,,21,,0.21
DENI068,21,9,4,,21,,0.21
DENI068,22,7,4,,16,,0.21
DENI068,23,8,5,,16,,0.2
