station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,6,3,,6,0,
DENI042,1,6,3,18,4,0,
DENI042,2,7,3,17,4,0,
DENI042,3,7,3,16,,1,
DENI042,4,7,3,13,5,0,
DENI042,5,8,4,9,10,0,
DENI042,6,8,4,8,9,0,
DENI042,7,10,6,39,10,0,
DENI042,8,10,5,55,8,0,
DENI042,9,9,4,71,4,,
DENI042,10,6,3,79,3,0,
DENI042,11,7,3,83,2,0,
DENI042,12,8,4,86,2,1,
DENI042,13,9,4,87,3,3,
DENI042,14,8,4,90,3,2,
DENI042,15,10,4,94,2,1,
DENI042,16,9,4,95,2,0,
DENI042,17,9,4,97,2,1,
DENI042,18,11,4,96,3,1,
DENI042,19,10,4,86,6,1,
DENI042,20,15,5,73,7,0,
DENI042,21,14,5,66,6,,
DENI042,22,12,5,57,7,,
DENI042,23,9,4,54,6,0,
DENI068,0,7,4,,13,,0.15
DENI068,1,8,4,,14,,0.15
DENI068,2,8,4,,,,0.14
DENI068,3,9,4,,9,,0.14
DENI068,4,9,4,,10,,0.13
DENI068,5,24,12,,17,,0.17
DENI068,6,16,6,,24,,0.2
DENI068,7,13,6,,23,,0.23
DENI068,8,12,5,,19,,0.25
DENI068,9,8,3,,12,,0.26
DENI068,10,7,3,,11,,0.27
DENI068,11,9,3,,9,,0.28
DENI068,12,7,3,,13,,0.27
DENI068,13,9,4,,10,,0.25
DENI068,14,9,3,,13,,0.24
DENI068,15,8,3,,12,,0.22
DENI068,16,8,3,,13,,0.22
DENI068,17,9,4,,17,,0.22
DENI068,18,10,4,,16,,0.23
DENI068,19,13,4,,33,,0.26
DENI068,20,11,4,,21,,0.28
DENI068,21,17,6,,29,,0.29
DENI068,22,23,6,,26,,0.29
DENI068,23,16,5,,20,,0.29
