station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,13,6,71,4,,
DENI042,1,12,6,71,3,,
DENI042,2,11,5,70,4,,
DENI042,3,11,6,66,5,,
DENI042,4,12,6,66,5,,
DENI042,5,11,5,67,5,,
DENI042,6,11,6,60,8,,
DENI042,7,12,7,57,11,,
DENI042,8,13,7,56,11,,
DENI042,9,14,7,57,9,,
DENI042,10,13,7,57,9,,
DENI042,11,13,6,56,11,,
DENI042,12,11,6,58,9,,
DENI042,13,10,5,58,10,,
DENI042,14,9,4,60,9,,
DENI042,15,8,3,56,11,,
DENI042,16,7,3,52,14,,
DENI042,17,7,3,57,11,,
DENI042,18,6,3,57,9,,
DENI042,19,6,3,50,10,,
DENI042,20,5,2,51,11,,
DENI042,21,5,2,42,12,,
DENI042,22,5,3,43,10,,
DENI042,23,5,2,49,10,,
DENI068,0,14,6,,5,,0.35
DENI068,1,13,6,,9,,0.31
DENI068,2,12,6,,5,,0.28
DENI068,3,13,6,,5,,0.24
DENI068,4,13,6,,4,,0.23
DENI068,5,12,6,,6,,0.22
DENI068,6,13,7,,19,,0.22
DENI068,7,15,7,,21,,0.22
DENI068,8,14,7,,18,,0.23
DENI068,9,13,7,,16,,0.23
DENI068,10,16,7,,13,,0.24
DENI068,11,23,8,,16,,0.24
DENI068,12,13,6,,13,,0.24
DENI068,13,10,5,,15,,0.24
DENI068,14,9,4,,13,,0.24
DENI068,15,9,4,,23,,0.24
DENI068,16,12,4,,29,,0.25
DENI068,17,12,4,,39,,0.28
DENI068,18,8,3,,32,,0.3
DENI068,19,7,4,,27,,0.31
DENI068,20,7,3,,34,,0.33
DENI068,21,7,3,,48,,0.37
DENI068,22,8,5,,37,,0.39
DENI068,23,6,3,,,,0.39
