station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,6,3,72,4,0.2,
DENI042,1,6,4,67,4,,
DENI042,2,7,5,68,4,,
DENI042,3,6,4,66,4,,
DENI042,4,7,5,64,,0.2,
DENI042,5,8,5,64,4,,
DENI042,6,8,5,66,5,0.1,
DENI042,7,8,5,62,7,0.3,
DENI042,8,9,5,64,8,0,
DENI042,9,6,3,71,7,0.2,
DENI042,10,6,2,79,5,0.1,
DENI042,11,5,2,83,5,0,
DENI042,12,6,2,82,6,,
DENI042,13,6,3,81,7,,
DENI042,14,8,4,89,6,,
DENI042,15,9,5,90,5,,
DENI042,16,9,5,89,5,0.1,
DENI042,17,7,4,84,8,0,
DENI042,18,8,3,78,9,0,
DENI042,19,6,3,67,8,,
DENI042,20,6,2,68,8,0,
DENI042,21,3,1,79,6,,
DENI042,22,3,1,79,4,,
DENI042,23,3,1,78,4,,
DENI068,0,6,3,,7,,0.23
DENI068,1,7,4,,7,,0.25
DENI068,2,7,4,,6,,0.27
DENI068,3,6,4,,6,,0.28
DENI068,4,7,5,,6,,0.29
DENI068,5,8,5,,14,,0.31
DENI068,6,9,5,,30,,0.34
DENI068,7,10,6,,38,,0.38
DENI068,8,9,5,,18,,0.42
DENI068,9,8,3,,20,,0.43
DENI068,10,6,3,,17,,0.42
DENI068,11,11,3,,17,,0.4
DENI068,12,11,3,,19,,0.4
DENI068,13,11,3,,15,,0.39
DENI068,14,10,4,,11,,0.37
DENI068,15,9,5,,8,,0.34
DENI068,16,9,5,,12,,0.32
DENI068,17,10,4,,20,,0.3
DENI068,18,11,4,,22,,0.31
DENI068,19,9,4,,47,,0.33
DENI068,20,7,4,,21,,0.34
DENI068,21,5,2,,26,,0.34
DENI068,22,3,1,,,,0.35
DENI068,23,4,1,,17,,0.35
