station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,7,5,22,10,,
DENI042,1,6,4,19,,,
DENI042,2,6,4,20,7,,
DENI042,3,7,4,18,7,,
DENI042,4,7,5,13,11,,
DENI042,5,9,7,6,18,,
DENI042,6,11,8,1,23,,
DENI042,7,16,9,1,26,,
DENI042,8,25,11,2,28,,
DENI042,9,28,15,3,33,,
DENI042,10,27,17,5,37,,
DENI042,11,24,17,7,42,,
DENI042,12,24,15,15,40,,
DENI042,13,17,13,40,17,,
DENI042,14,19,14,33,25,,
DENI042,15,17,13,33,27,0.4,
DENI042,16,18,12,19,32,,
DENI042,17,24,11,11,43,,
DENI042,18,17,10,17,35,,
DENI042,19,22,14,16,35,,
DENI042,20,18,14,25,29,,
DENI042,21,13,10,39,17,,
DENI042,22,13,10,,17,,
DENI042,23,13,10,40,15,,
DENI068,0,19,15,,38,,0.74
DENI068,1,18,14,,39,,0.69
DENI068,2,20,15,,32,,0.63
DENI068,3,19,14,,,,0.58
DENI068,4,20,14,,31,,0.56
DENI068,5,22,17,,34,,0.53
DENI068,6,21,16,,40,,0.5
DENI068,7,22,16,,38,,0.51
DENI068,8,26,19,,42,,0.52
DENI068,9,24,18,,44,,0.51
DENI068,10,28,18,,45,,0.52
DENI068,11,25,16,,42,,0.52
DENI068,12,26,16,,43,,0.53
DENI068,13,28,14,,37,,0.53
DENI068,14,33,15,,42,,0.52
DENI068,15,39,15,,56,,0.5
DENI068,16,34,12,,58,,0.52
DENI068,17,26,11,,68,,0.55
DENI068,18,21,13,,63,,0.58
DENI068,19,18,13,,55,,0.6
DENI068,20,18,13,,45,,0.59
DENI068,21,16,12,,32,,0.58
DENI068,22,14,11,,31,,0.58
DENI068,23,13,10,,25,,0.55
