station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,6,3,71,5,,
DENI042,1,6,3,71,5,,
DENI042,2,6,3,71,4,0.3,
DENI042,3,6,3,69,,,
DENI042,4,5,2,70,6,0,
DENI042,5,4,2,68,6,0.2,
DENI042,6,4,2,65,7,0.2,
DENI042,7,6,3,63,7,0.2,
DENI042,8,6,3,61,7,0.6,
DENI042,9,5,3,69,7,0.5,
DENI042,10,4,2,70,8,0.4,
DENI042,11,4,2,74,7,0.4,
DENI042,12,4,2,78,5,0.6,
DENI042,13,5,2,80,5,0.4,
DENI042,14,6,3,79,4,0.7,
DENI042,15,6,2,80,5,0.9,
DENI042,16,4,1,82,7,0.7,
DENI042,17,3,1,72,8,0.7,
DENI042,18,5,2,68,7,0.7,
DENI042,19,4,2,72,6,0.6,
DENI042,20,4,2,71,5,0.7,
DENI042,21,5,2,68,5,0.7,
DENI042,22,5,2,66,5,,
DENI042,23,5,2,,4,0.2,
DENI068,0,7,3,,10,,0.29
DENI068,1,6,3,,7,,0.31
DENI068,2,8,4,,7,,0.32
DENI068,3,9,3,,12,,0.34
DENI068,4,8,3,,,,0.34
DENI068,5,5,2,,28,,0.36
DENI068,6,5,2,,35,,0.39
DENI068,7,7,3,,37,,0.42
DENI068,8,9,4,,36,,0.45
DENI068,9,7,3,,32,,0.47
DENI068,10,7,3,,31,,0.49
DENI068,11,7,3,,39,,0.52
DENI068,12,6,2,,25,,0.55
DENI068,13,9,3,,14,,0.55
DENI068,14,10,4,,10,,0.55
DENI068,15,9,2,,13,,0.54
DENI068,16,7,2,,29,,0.55
DENI068,17,6,2,,32,,0.56
DENI068,18,6,3,,31,,0.56
DENI068,19,5,2,,22,,0.53
DENI068,20,5,2,,16,,0.5
DENI068,21,6,3,,19,,0.48
DENI068,22,6,3,,14,,0.47
DENI068,23,6,3,,9,,0.45
