station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,18,12,62,,0.7,
DENI042,1,17,12,62,8,0.5,
DENI042,2,16,12,63,6,0.2,
DENI042,3,15,12,60,7,,
DENI042,4,16,13,54,10,0.1,
DENI042,5,17,13,31,29,0,
DENI042,6,17,13,12,43,0,
DENI042,7,20,14,16,46,0.4,
DENI042,8,17,11,81,16,0.7,
DENI042,9,13,8,106,7,1,
DENI042,10,12,7,119,7,1,
DENI042,11,12,7,131,7,1,
DENI042,12,12,7,148,7,0.9,
DENI042,13,12,7,165,6,0.8,
DENI042,14,12,6,174,8,0.8,
DENI042,15,10,4,163,6,0.5,
DENI042,16,11,5,160,6,0.5,
DENI042,17,13,7,160,8,1,
DENI042,18,15,10,148,12,1,
DENI042,19,20,13,97,26,0.6,
DENI042,20,20,14,102,15,0.6,
DENI042,21,21,16,100,14,0.6,
DENI042,22,21,19,,14,0.4,
DENI042,23,22,19,89,11,0.3,
DENI068,0,24,17,,,,0.5
DENI068,1,26,18,,46,,0.48
DENI068,2,47,26,,29,,0.45
DENI068,3,21,16,,39,,0.37
DENI068,4,23,17,,44,,0.34
DENI068,5,24,17,,48,,0.31
DENI068,6,29,18,,62,,0.33
DENI068,7,35,17,,76,,0.38
DENI068,8,23,11,,46,,0.4
DENI068,9,23,10,,41,,0.4
DENI068,10,26,11,,53,,0.4
DENI068,11,27,12,,59,,0.42
DENI068,12,27,12,,79,,0.45
DENI068,13,25,11,,71,,0.47
DENI068,14,23,11,,81,,0.47
DENI068,15,19,10,,79,,0.44
DENI068,16,19,10,,65,,0.45
DENI068,17,21,11,,92,,0.47
DENI068,18,24,13,,125,,0.51
DENI068,19,36,18,,146,,0.58
DENI068,20,52,27,,108,,0.64
DENI068,21,45,25,,44,,0.66
DENI068,22,49,28,,68,,0.68
DENI068,23,47,29,,70,,0.7
