station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,12,10,29,14,,
DENI042,1,13,11,30,14,,
DENI042,2,14,12,25,15,,
DENI042,3,16,13,24,15,,
DENI042,4,15,13,29,13,,
DENI042,5,12,11,33,12,,
DENI042,6,10,9,34,11,,
DENI042,7,10,10,33,12,,
DENI042,8,9,9,33,11,,
DENI042,9,7,7,37,10,,
DENI042,10,7,6,38,11,,
DENI042,11,5,4,46,10,,
DENI042,12,4,4,49,10,,
DENI042,13,4,3,47,12,,
DENI042,14,4,3,47,13,,
DENI042,15,4,3,43,15,,
DENI042,16,5,4,42,16,,
DENI042,17,5,4,43,16,,
DENI042,18,6,4,42,15,,
DENI042,19,7,5,39,15,,
DENI042,20,7,5,37,15,,
DENI042,21,7,5,38,14,,
DENI042,22,8,5,,15,,
DENI042,23,8,5,32,,,
DENI068,0,21,19,,24,,0.65
DENI068,1,23,19,,,,0.59
DENI068,2,24,21,,26,,0.56
DENI068,3,25,21,,24,,0.51
DENI068,4,23,20,,17,,0.41
DENI068,5,19,19,,17,,0.36
DENI068,6,17,17,,25,,0.31
DENI068,7,16,16,,19,,0.29
DENI068,8,14,15,,22,,0.28
DENI068,9,12,14,,21,,0.28
DENI068,10,11,12,,26,,0.29
DENI068,11,9,10,,26,,0.28
DENI068,12,8,9,,22,,0.29
DENI068,13,7,9,,31,,0.29
DENI068,14,7,9,,37,,0.3
DENI068,15,7,9,,43,,0.31
DENI068,16,7,8,,37,,0.33
DENI068,17,7,8,,43,,0.35
DENI068,18,9,9,,45,,0.37
DENI068,19,9,8,,43,,0.43
DENI068,20,10,8,,42,,0.45
DENI068,21,10,8,,38,,0.47
DENI068,22,10,8,,32,,0.47
DENI068,23,11,8,,24,,0.47
