station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,30,26,34,24,0.9,
DENI042,1,33,31,36,,1,
DENI042,2,34,32,37,18,0.8,
DENI042,3,28,26,,12,0.9,
DENI042,4,23,22,46,12,1,
DENI042,5,26,25,44,13,1,
DENI042,6,29,28,41,14,0.9,
DENI042,7,27,26,42,13,0.9,
DENI042,8,23,22,46,13,0.9,
DENI042,9,20,19,53,11,1,
DENI042,10,17,16,57,10,0.8,
DENI042,11,16,16,56,11,0.9,
DENI042,12,13,13,56,12,1,
DENI042,13,12,12,55,15,1,
DENI042,14,8,8,53,16,1,
DENI042,15,5,5,48,19,0.8,
DENI042,16,4,3,47,16,1,
DENI042,17,2,2,42,18,1,
DENI042,18,3,3,34,24,1,
DENI042,19,3,2,32,28,1,
DENI042,20,3,3,28,32,1,
DENI042,21,4,4,23,29,1,
DENI042,22,5,5,30,23,1,
DENI042,23,7,6,24,24,1,
DENI068,0,39,30,,30,,0.54
DENI068,1,42,32,,23,,0.52
DENI068,2,42,33,,21,,0.46
DENI068,3,35,28,,14,,0.42
DENI068,4,28,23,,13,,0.38
DENI068,5,32,26,,18,,0.35
DENI068,6,34,29,,16,,0.32
DENI068,7,32,27,,17,,0.32
DENI068,8,26,23,,20,,0.32
DENI068,9,24,20,,28,,0.32
DENI068,10,19,16,,25,,0.32
DENI068,11,20,16,,26,,0.33
DENI068,12,17,14,,30,,0.34
DENI068,13,16,13,,34,,0.36
DENI068,14,10,8,,38,,0.36
DENI068,15,7,5,,44,,0.37
DENI068,16,6,4,,44,,0.39
DENI068,17,5,3,,47,,0.4
DENI068,18,6,4,,59,,0.44
DENI068,19,7,5,,60,,0.48
DENI068,20,8,6,,52,,0.52
DENI068,21,10,9,,52,,0.56
DENI068,22,12,11,,,,0.6
DENI068,23,14,14,,50,,0.63
