station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,17,16,55,14,,
DENI042,1,14,14,55,13,0.4,
DENI042,2,11,11,54,,0.3,
DENI042,3,10,10,52,13,0.4,
DENI042,4,10,10,51,12,0.4,
DENI042,5,10,10,49,13,0.4,
DENI042,6,8,8,44,16,0.4,
DENI042,7,6,6,40,19,0.6,
DENI042,8,4,4,45,15,0.5,
DENI042,9,4,4,49,15,0.5,
DENI042,10,4,3,56,15,0.4,
DENI042,11,3,2,61,14,0.3,
DENI042,12,2,1,59,15,0.5,
DENI042,13,1,0.6,68,18,0.6,
DENI042,14,1,0.7,75,17,0.3,
DENI042,15,2,2,69,20,0.6,
DENI042,16,2,2,70,19,0.6,
DENI042,17,3,2,65,23,0.4,
DENI042,18,4,3,40,40,0.7,
DENI042,19,5,3,50,30,0.5,
DENI042,20,5,4,63,16,0.7,
DENI042,21,5,4,64,14,0.4,
DENI042,22,4,3,64,12,0.4,
DENI042,23,5,4,,13,0.6,
DENI068,0,29,23,,22,,0.42
DENI068,1,23,18,,18,,0.38
DENI068,2,18,15,,17,,0.34
DENI068,3,16,14,,24,,0.33
DENI068,4,17,14,,20,,0.32
DENI068,5,15,13,,22,,0.3
DENI068,6,13,11,,37,,0.32
DENI068,7,11,9,,65,,0.37
DENI068,8,9,7,,47,,0.42
DENI068,9,9,7,,53,,0.44
DENI068,10,9,5,,47,,0.46
DENI068,11,9,4,,64,,0.48
DENI068,12,6,2,,32,,0.49
DENI068,13,4,0.5,,28,,0.5
DENI068,14,4,0.6,,45,,0.5
DENI068,15,7,2,,43,,0.47
DENI068,16,11,3,,72,,0.48
DENI068,17,18,5,,83,,0.51
DENI068,18,20,5,,86,,0.57
DENI068,19,18,6,,70,,0.62
DENI068,20,17,7,,56,,0.63
DENI068,21,20,10,,38,,0.62
DENI068,22,14,6,,39,,0.62
DENI068,23,15,7,,,,0.62
