station,hour,pm10,pm25,o3,no2,so2,co_8h
DENI042,0,16,9,28,7,1,
DENI042,1,14,11,23,7,,
DENI042,2,14,10,20,7,0.9,
DENI042,3,14,9,,10,0.8,
DENI042,4,15,9,8,16,0.8,
DENI042,5,13,8,2,18,0.8,
DENI042,6,15,9,3,24,1,
DENI042,7,22,11,6,34,2,
DENI042,8,17,9,17,27,2,
DENI042,9,10,5,39,14,2,
DENI042,10,7,3,58,8,2,
DENI042,11,6,3,77,4,1,
DENI042,12,6,3,83,3,1,
DENI042,13,6,3,86,3,1,
DENI042,14,6,3,88,3,0.9,
DENI042,15,8,4,92,4,0.9,
DENI042,16,9,5,96,4,0.8,
DENI042,17,10,6,94,4,0.8,
DENI042,18,12,7,90,5,0.9,
DENI042,19,13,9,82,7,1,
DENI042,20,25,13,58,19,2,
DENI042,21,22,13,47,18,1,
DENI042,22,17,12,37,18,1,
DENI042,23,15,11,33,14,1,
DENI068,0,30,12,,40,,0.14
DENI068,1,25,12,,31,,0.14
DENI068,2,28,13,,36,,0.13
DENI068,3,22,11,,28,,0.12
DENI068,4,21,10,,35,,0.11
DENI068,5,21,10,,34,,0.12
DENI068,6,28,11,,45,,0.16
DENI068,7,25,9,,43,,0.2
DENI068,8,23,8,,44,,0.24
DENI068,9,20,7,,34,,0.25
DENI068,10,16,7,,35,,0.27
DENI068,11,14,6,,32,,0.28
DENI068,12,13,5,,29,,0.28
DENI068,13,13,6,,33,,0.28
DENI068,14,13,6,,30,,0.25
DENI068,15,14,6,,24,,0.22
DENI068,16,16,7,,40,,0.2
DENI068,17,15,7,,41,,0.2
DENI068,18,15,7,,32,,0.18
DENI068,19,15,8,,32,,0.19
DENI068,20,19,9,,50,,0.2
DENI068,21,22,10,,46,,0.21
DENI068,22,26,11,,,,0.2
DENI068,23,27,12,,45,,0.19
