probe,hour,value
031520061,0,0.125
031520061,1,0.127
031520061,2,0.129
031520061,3,0.129
031520061,4,0.128
031520061,5,0.128
031520061,6,0.127
031520061,7,0.128
031520091,0,0.145
031520091,1,0.148
031520091,2,0.148
031520091,3,0.146
031520091,4,0.151
031520091,5,0.149
031520091,6,0.151
031520091,7,0.149
031520101,0,0.141
031520101,1,0.147
031520101,2,0.146
031520101,3,0.151
031520101,4,0.151
031520101,5,0.148
031520101,6,0.148
031520101,7,0.145
031520111,0,0.125
031520111,1,0.129
031520111,2,0.128
031520111,3,0.129
031520111,4,0.131
031520111,5,0.13
031520111,6,0.125
031520111,7,0.123
031520121,0,0.12
031520121,1,0.124
031520121,2,0.127
031520121,3,0.128
031520121,4,0.125
031520121,5,0.128
031520121,6,0.123
031520121,7,0.121
031520122,0,0.139
031520122,1,0.14
031520122,2,0.142
031520122,3,0.143
031520122,4,0.146
031520122,5,0.149
031520122,6,0.146
031520122,7,0.142
031520271,0,0.158
031520271,1,0.157
031520271,2,0.159
031520271,3,0.158
031520271,4,0.159
031520271,5,0.16
031520271,6,0.156
031520271,7,0.156
031550071,0,0.126
031550071,1,0.123
031550071,2,0.128
031550071,3,0.128
031550071,4,0.129
031550071,5,0.128
031550071,6,0.125
031550071,7,0.123
031550121,0,0.123
031550121,1,0.125
031550121,2,0.126
066330221,0,0.118
066330221,1,0.116
066330221,2,0.116
066330221,3,0.113
066330221,4,0.115
066330221,5,0.116
066330221,6,0.118
066330221,7,0.116
066360161,0,0.137
066360161,1,0.134
066360161,2,0.136
066360161,3,0.137
066360161,4,0.142
066360161,5,0.138
066360161,6,0.138
066360161,7,0.139
